RAL10
Sampling=1
Gain=5
Zero_base=6877
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 10:22:55.112 1897 41.26
04/18/2023 10:22:55.320 1856 41.26
04/18/2023 10:22:55.534 1865 41.23
04/18/2023 10:22:55.751 1868 41.23
04/18/2023 10:22:55.960 1859 41.23
04/18/2023 10:22:56.169 1856 41.23
04/18/2023 10:22:56.346 1850 41.23
04/18/2023 10:22:56.551 1880 41.26
04/18/2023 10:22:56.751 1856 41.26
04/18/2023 10:22:56.953 1845 41.26
04/18/2023 10:22:57.162 1841 41.26
04/18/2023 10:22:57.371 1880 41.26
04/18/2023 10:22:57.579 1844 41.26
04/18/2023 10:22:57.788 1843 41.26
04/18/2023 10:22:57.994 1850 41.26
04/18/2023 10:22:58.203 1850 41.26
04/18/2023 10:22:58.413 1838 41.26
04/18/2023 10:22:58.620 1829 41.26
04/18/2023 10:22:58.828 1862 41.26
04/18/2023 10:22:59.036 1838 41.26
04/18/2023 10:22:59.244 1822 41.26
04/18/2023 10:22:59.452 1834 41.26
04/18/2023 10:22:59.664 1865 41.26
04/18/2023 10:22:59.880 1825 41.26
04/18/2023 10:23:00.091 1821 41.26
04/18/2023 10:23:00.300 1848 41.26
04/18/2023 10:23:00.478 1865 41.26
04/18/2023 10:23:00.681 1848 41.26
04/18/2023 10:23:00.880 1824 41.26
04/18/2023 10:23:01.085 1859 41.26
04/18/2023 10:23:01.293 1850 41.26
04/18/2023 10:23:01.500 1843 41.26
04/18/2023 10:23:01.709 1844 41.26
04/18/2023 10:23:01.917 1840 41.26
04/18/2023 10:23:02.125 1857 41.26
04/18/2023 10:23:02.334 1831 41.26
04/18/2023 10:23:02.541 1859 41.26
04/18/2023 10:23:02.749 1832 41.26
04/18/2023 10:23:02.959 1853 41.26
04/18/2023 10:23:03.167 1865 41.26
04/18/2023 10:23:03.375 1860 41.26
04/18/2023 10:23:03.583 1855 41.26
04/18/2023 10:23:03.791 1849 41.26
04/18/2023 10:23:04.010 1843 41.26
04/18/2023 10:23:04.224 1882 41.26
04/18/2023 10:23:04.433 1865 41.23
04/18/2023 10:23:04.608 1877 41.23
04/18/2023 10:23:04.810 1870 41.23
04/18/2023 10:23:05.007 1882 41.26
04/18/2023 10:23:05.216 1854 41.23
04/18/2023 10:23:05.424 1868 41.23
04/18/2023 10:23:05.630 1881 41.23
04/18/2023 10:23:05.841 1839 41.23
04/18/2023 10:23:06.049 1848 41.23
04/18/2023 10:23:06.256 1881 41.23
04/18/2023 10:23:06.465 1880 41.23
04/18/2023 10:23:06.674 1862 41.23
04/18/2023 10:23:06.882 1850 41.23
04/18/2023 10:23:07.090 1872 41.23
04/18/2023 10:23:07.298 1861 41.23
04/18/2023 10:23:07.506 1862 41.23
04/18/2023 10:23:07.714 1845 41.23
04/18/2023 10:23:07.922 1881 41.23
04/18/2023 10:23:08.139 1864 41.23
04/18/2023 10:23:08.354 1828 41.23
04/18/2023 10:23:08.563 1863 41.23
04/18/2023 10:23:08.739 1857 41.23
04/18/2023 10:23:08.939 1828 41.23
04/18/2023 10:23:09.139 1838 41.23
04/18/2023 10:23:09.348 1848 41.23
04/18/2023 10:23:09.555 1845 41.23
04/18/2023 10:23:09.763 1821 41.23
04/18/2023 10:23:09.972 1837 41.23
04/18/2023 10:23:10.181 1851 41.23
04/18/2023 10:23:10.389 1831 41.23
04/18/2023 10:23:10.597 1811 41.23
04/18/2023 10:23:10.805 1845 41.23
04/18/2023 10:23:11.013 1855 41.23
04/18/2023 10:23:11.222 1838 41.23
04/18/2023 10:23:11.430 1823 41.23
04/18/2023 10:23:11.638 1856 41.23
04/18/2023 10:23:11.845 1850 41.23
04/18/2023 10:23:12.054 1824 41.23
04/18/2023 10:23:12.267 1836 41.23
04/18/2023 10:23:12.485 1844 41.23
04/18/2023 10:23:12.694 1843 41.23
04/18/2023 10:23:12.868 1831 41.23
04/18/2023 10:23:13.067 1832 41.23
04/18/2023 10:23:13.271 1838 41.23
04/18/2023 10:23:13.480 1833 41.23
04/18/2023 10:23:13.688 1845 41.23
04/18/2023 10:23:13.896 1842 41.23
04/18/2023 10:23:14.105 1856 41.23
04/18/2023 10:23:14.312 1822 41.23
04/18/2023 10:23:14.521 1823 41.23
04/18/2023 10:23:14.729 1850 41.23
04/18/2023 10:23:14.937 1838 41.23
04/18/2023 10:23:15.146 1817 41.23
04/18/2023 10:23:15.354 1843 41.23
04/18/2023 10:23:15.562 1841 41.23
04/18/2023 10:23:15.770 1830 41.23
04/18/2023 10:23:15.977 1844 41.23
04/18/2023 10:23:16.186 1835 41.23
04/18/2023 10:23:16.397 1846 41.23
04/18/2023 10:23:16.614 1823 41.23
04/18/2023 10:23:16.825 1838 41.23
04/18/2023 10:23:16.996 1838 41.23
04/18/2023 10:23:17.195 1819 41.23
04/18/2023 10:23:17.403 1822 41.23
04/18/2023 10:23:17.610 1812 41.23
04/18/2023 10:23:17.819 1843 41.23
04/18/2023 10:23:18.027 1825 41.23
04/18/2023 10:23:18.235 1826 41.23
04/18/2023 10:23:18.443 1828 41.23
04/18/2023 10:23:18.651 1835 41.23
04/18/2023 10:23:18.859 1804 41.23
04/18/2023 10:23:19.068 1821 41.23
04/18/2023 10:23:19.277 1825 41.23
04/18/2023 10:23:19.485 1824 41.23
04/18/2023 10:23:19.692 1822 41.23
04/18/2023 10:23:19.900 1835 41.23
04/18/2023 10:23:20.107 1818 41.23
04/18/2023 10:23:20.317 1811 41.23
04/18/2023 10:23:20.519 1829 41.23
04/18/2023 10:23:20.750 1819 41.23
04/18/2023 10:23:20.957 1812 41.23
04/18/2023 10:23:21.128 1807 41.23
04/18/2023 10:23:21.325 1822 41.23
04/18/2023 10:23:21.534 1823 41.23
04/18/2023 10:23:21.742 1814 41.23
04/18/2023 10:23:21.950 1823 41.23
04/18/2023 10:23:22.158 1837 41.23
04/18/2023 10:23:22.366 1822 41.23
04/18/2023 10:23:22.575 1813 41.23
04/18/2023 10:23:22.783 1809 41.23
04/18/2023 10:23:22.991 1824 41.23
04/18/2023 10:23:23.199 1803 41.26
04/18/2023 10:23:23.407 1821 41.23
04/18/2023 10:23:23.614 1823 41.23
04/18/2023 10:23:23.823 1814 41.23
04/18/2023 10:23:24.032 1815 41.23
04/18/2023 10:23:24.239 1819 41.26
04/18/2023 10:23:24.447 1826 41.23
04/18/2023 10:23:24.660 1817 41.23
04/18/2023 10:23:24.877 1822 41.23
04/18/2023 10:23:25.088 1815 41.23
04/18/2023 10:23:25.256 1821 41.26
04/18/2023 10:23:25.457 1815 41.26
04/18/2023 10:23:25.666 1799 41.23
04/18/2023 10:23:25.873 1835 41.23
04/18/2023 10:23:26.082 1818 41.23
04/18/2023 10:23:26.290 1807 41.23
04/18/2023 10:23:26.498 1839 41.23
04/18/2023 10:23:26.706 1827 41.23
04/18/2023 10:23:26.914 1834 41.23
04/18/2023 10:23:27.119 1813 41.23
04/18/2023 10:23:27.330 1826 41.26
04/18/2023 10:23:27.539 1822 41.26
04/18/2023 10:23:27.747 1835 41.26
04/18/2023 10:23:27.956 1832 41.26
04/18/2023 10:23:28.162 1828 41.26
04/18/2023 10:23:28.372 1868 41.26
04/18/2023 10:23:28.580 1818 41.23
