               data_ora  rad  temperatura elevazione
2023-03-25 21:38:11.313 6352        41.60         20
2023-03-25 21:38:11.505 6354        41.60         20
2023-03-25 21:38:11.714 6370        41.60         20
2023-03-25 21:38:11.922 6374        41.60         20
2023-03-25 21:38:12.126 6380        41.60         20
2023-03-25 21:38:12.337 6362        41.60         20
2023-03-25 21:38:12.545 6370        41.60         20
2023-03-25 21:38:12.753 6371        41.60         20
2023-03-25 21:38:12.962 6368        41.60         20
2023-03-25 21:38:13.169 6371        41.60         20
2023-03-25 21:38:13.385 6359        41.60         20
2023-03-25 21:38:13.601 6341        41.60         20
2023-03-25 21:38:13.810 6352        41.60         20
2023-03-25 21:38:14.020 6369        41.60         20
2023-03-25 21:38:14.223 6347        41.60         20
2023-03-25 21:38:14.436 6381        41.60         20
2023-03-25 21:38:14.610 6380        41.60         20
2023-03-25 21:38:14.819 6366        41.60         20
2023-03-25 21:38:15.027 6382        41.60         20
2023-03-25 21:38:15.232 6380        41.63         20
2023-03-25 21:38:15.437 6352        41.60         20
2023-03-25 21:38:15.636 6365        41.60         20
2023-03-25 21:38:15.844 6389        41.60         20
2023-03-25 21:38:16.053 6381        41.60         20
2023-03-25 21:38:16.258 6344        41.60         20
2023-03-25 21:38:16.469 6360        41.60         20
2023-03-25 21:38:16.677 6346        41.60         20
2023-03-25 21:38:16.885 6343        41.60         20
2023-03-25 21:38:17.094 6349        41.60         20
2023-03-25 21:38:17.302 6341        41.60         20
2023-03-25 21:38:17.513 6360        41.60         20
2023-03-25 21:38:17.730 6370        41.60         20
2023-03-25 21:38:17.943 6365        41.60         20
2023-03-25 21:38:18.150 6356        41.60         20
2023-03-25 21:38:18.358 6332        41.60         20
2023-03-25 21:38:18.567 6325        41.60         20
2023-03-25 21:38:18.775 6317        41.60         20
2023-03-25 21:38:18.951 6335        41.60         20
2023-03-25 21:38:19.159 6331        41.60         20
2023-03-25 21:38:19.368 6343        41.60         20
2023-03-25 21:38:19.568 6340        41.60         20
2023-03-25 21:38:19.767 6340        41.60         20
2023-03-25 21:38:19.976 6348        41.60         20
2023-03-25 21:38:20.184 6356        41.60         20
2023-03-25 21:38:20.388 6348        41.60         20
2023-03-25 21:38:20.601 6348        41.60         20
2023-03-25 21:38:20.808 6326        41.60         20
2023-03-25 21:38:21.016 6338        41.60         20
2023-03-25 21:38:21.239 6332        41.60         20
2023-03-25 21:38:21.448 6343        41.60         20
2023-03-25 21:38:21.656 6337        41.60         20
2023-03-25 21:38:21.865 6347        41.60         20
2023-03-25 21:38:22.074 6349        41.60         20
2023-03-25 21:38:22.282 6348        41.60         20
2023-03-25 21:38:22.490 6354        41.60         20
2023-03-25 21:38:22.697 6363        41.60         20
2023-03-25 21:38:22.906 6379        41.60         20
2023-03-25 21:38:23.081 6355        41.60         20
2023-03-25 21:38:23.291 6374        41.60         20
2023-03-25 21:38:23.499 6387        41.60         20
2023-03-25 21:38:23.698 6383        41.60         20
2023-03-25 21:38:23.899 6395        41.60         20
2023-03-25 21:38:24.108 6379        41.60         20
2023-03-25 21:38:24.314 6356        41.60         20
2023-03-25 21:38:24.524 6344        41.60         20
2023-03-25 21:38:24.732 6349        41.60         20
2023-03-25 21:38:24.939 6328        41.60         20
2023-03-25 21:38:25.148 6316        41.60         20
2023-03-25 21:38:25.355 6335        41.60         20
2023-03-25 21:38:25.564 6303        41.60         20
2023-03-25 21:38:25.773 6324        41.60         20
2023-03-25 21:38:25.987 6321        41.60         20
2023-03-25 21:38:26.206 6322        41.60         20
2023-03-25 21:38:26.414 6320        41.60         20
2023-03-25 21:38:26.622 6337        41.60         20
2023-03-25 21:38:26.829 6349        41.60         20
2023-03-25 21:38:27.038 6388        41.60         20
2023-03-25 21:38:27.212 6357        41.60         20
2023-03-25 21:38:27.422 6378        41.60         20
2023-03-25 21:38:27.628 6393        41.60         20
