               data_ora  rad  temperatura elevazione
2023-03-02 02:04:29.436 4807        40.29         25
2023-03-02 02:04:29.639 4820        40.29         25
2023-03-02 02:04:29.858 4821        40.29         25
2023-03-02 02:04:30.061 4805        40.29         25
2023-03-02 02:04:30.264 4808        40.29         25
2023-03-02 02:04:30.483 4817        40.29         25
2023-03-02 02:04:30.686 4822        40.29         25
2023-03-02 02:04:30.858 4801        40.29         25
2023-03-02 02:04:31.076 4805        40.29         25
2023-03-02 02:04:31.280 4826        40.29         25
2023-03-02 02:04:31.483 4819        40.26         25
2023-03-02 02:04:31.701 4826        40.26         25
2023-03-02 02:04:31.905 4829        40.29         25
2023-03-02 02:04:32.108 4835        40.26         25
2023-03-02 02:04:32.295 4832        40.26         25
2023-03-02 02:04:32.514 4843        40.26         25
2023-03-02 02:04:32.717 4842        40.26         25
2023-03-02 02:04:32.936 4809        40.26         25
2023-03-02 02:04:33.139 4843        40.26         25
2023-03-02 02:04:33.358 4824        40.26         25
2023-03-02 02:04:33.561 4823        40.26         25
2023-03-02 02:04:33.779 4816        40.26         25
2023-03-02 02:04:33.983 4831        40.26         25
2023-03-02 02:04:34.186 4843        40.26         25
2023-03-02 02:04:34.404 4837        40.26         25
2023-03-02 02:04:34.608 4825        40.26         25
2023-03-02 02:04:34.795 4829        40.26         25
2023-03-02 02:04:34.998 4844        40.26         25
2023-03-02 02:04:35.201 4845        40.26         25
2023-03-02 02:04:35.404 4848        40.26         25
2023-03-02 02:04:35.623 4839        40.26         25
2023-03-02 02:04:35.826 4853        40.26         25
2023-03-02 02:04:36.014 4845        40.26         25
2023-03-02 02:04:36.233 4839        40.26         25
2023-03-02 02:04:36.436 4869        40.26         25
2023-03-02 02:04:36.639 4852        40.26         25
2023-03-02 02:04:36.858 4863        40.26         25
2023-03-02 02:04:37.061 4836        40.26         25
2023-03-02 02:04:37.279 4843        40.26         25
2023-03-02 02:04:37.498 4840        40.26         25
2023-03-02 02:04:37.701 4836        40.26         25
2023-03-02 02:04:37.904 4849        40.26         25
2023-03-02 02:04:38.123 4841        40.22         25
2023-03-02 02:04:38.326 4841        40.22         25
2023-03-02 02:04:38.623 4845        40.22         25
2023-03-02 02:04:38.717 4845        40.22         25
2023-03-02 02:04:38.920 4836        40.26         25
2023-03-02 02:04:39.123 4833        40.22         25
2023-03-02 02:04:39.326 4877        40.22         25
2023-03-02 02:04:39.545 4848        40.22         25
2023-03-02 02:04:39.748 4858        40.26         25
2023-03-02 02:04:39.936 4874        40.26         25
2023-03-02 02:04:40.154 4866        40.26         25
2023-03-02 02:04:40.357 4890        40.26         25
2023-03-02 02:04:40.561 4855        40.22         25
2023-03-02 02:04:40.779 4873        40.26         25
2023-03-02 02:04:40.982 4861        40.26         25
2023-03-02 02:04:41.201 4867        40.26         25
2023-03-02 02:04:41.420 4865        40.26         25
2023-03-02 02:04:41.623 4854        40.26         25
2023-03-02 02:04:41.826 4859        40.22         25
2023-03-02 02:04:42.029 4858        40.26         25
2023-03-02 02:04:42.248 4857        40.26         25
2023-03-02 02:04:42.451 4841        40.26         25
2023-03-02 02:04:42.623 4843        40.26         25
2023-03-02 02:04:42.842 4853        40.26         25
2023-03-02 02:04:43.045 4872        40.26         25
2023-03-02 02:04:43.264 4841        40.26         25
2023-03-02 02:04:43.467 4846        40.26         25
2023-03-02 02:04:43.670 4854        40.26         25
2023-03-02 02:04:43.857 4869        40.22         25
2023-03-02 02:04:44.076 4862        40.26         25
2023-03-02 02:04:44.279 4824        40.26         25
2023-03-02 02:04:44.482 4858        40.26         25
2023-03-02 02:04:44.701 4854        40.26         25
2023-03-02 02:04:44.904 4836        40.26         25
2023-03-02 02:04:45.123 4831        40.26         25
2023-03-02 02:04:45.342 4830        40.26         25
2023-03-02 02:04:45.545 4839        40.26         25
2023-03-02 02:04:45.748 4843        40.26         25
2023-03-02 02:04:45.967 4835        40.26         25
2023-03-02 02:04:46.170 4830        40.26         25
2023-03-02 02:04:46.373 4849        40.26         25
2023-03-02 02:04:46.545 4835        40.26         25
2023-03-02 02:04:46.764 4858        40.26         25
2023-03-02 02:04:46.967 4827        40.26         25
2023-03-02 02:04:47.170 4848        40.26         25
2023-03-02 02:04:47.388 4843        40.26         25
2023-03-02 02:04:47.576 4856        40.26         25
2023-03-02 02:04:47.795 4862        40.26         25
2023-03-02 02:04:47.998 4855        40.26         25
2023-03-02 02:04:48.201 4826        40.26         25
2023-03-02 02:04:48.420 4871        40.26         25
2023-03-02 02:04:48.623 4849        40.26         25
2023-03-02 02:04:48.826 4857        40.26         25
2023-03-02 02:04:49.029 4869        40.26         25
2023-03-02 02:04:49.248 4850        40.26         25
2023-03-02 02:04:49.467 4872        40.26         25
2023-03-02 02:04:49.670 4861        40.26         25
2023-03-02 02:04:49.888 4844        40.26         25
2023-03-02 02:04:50.092 4867        40.26         25
2023-03-02 02:04:50.295 4865        40.26         25
2023-03-02 02:04:50.467 4866        40.26         25
2023-03-02 02:04:50.685 4863        40.26         25
2023-03-02 02:04:50.888 4871        40.26         25
2023-03-02 02:04:51.092 4880        40.29         25
2023-03-02 02:04:51.295 4872        40.29         25
2023-03-02 02:04:51.498 4879        40.29         25
2023-03-02 02:04:51.701 4878        40.29         25
2023-03-02 02:04:51.920 4832        40.29         25
2023-03-02 02:04:52.123 4874        40.29         25
2023-03-02 02:04:52.326 4877        40.29         25
2023-03-02 02:04:52.545 4864        40.29         25
2023-03-02 02:04:52.748 4840        40.29         25
2023-03-02 02:04:52.966 4873        40.29         25
2023-03-02 02:04:53.170 4859        40.29         25
2023-03-02 02:04:53.388 4879        40.29         25
2023-03-02 02:04:53.591 4856        40.29         25
2023-03-02 02:04:53.810 4835        40.29         25
2023-03-02 02:04:54.013 4866        40.29         25
2023-03-02 02:04:54.216 4839        40.29         25
2023-03-02 02:04:54.404 4845        40.29         25
2023-03-02 02:04:54.607 4863        40.29         25
2023-03-02 02:04:54.810 4862        40.29         25
2023-03-02 02:04:55.013 4864        40.29         25
2023-03-02 02:04:55.216 4862        40.29         25
2023-03-02 02:04:55.420 4877        40.29         25
2023-03-02 02:04:55.623 4867        40.29         25
2023-03-02 02:04:55.841 4914        40.29         25
2023-03-02 02:04:56.045 4856        40.29         25
2023-03-02 02:04:56.248 4860        40.29         25
2023-03-02 02:04:56.466 4885        40.29         25
2023-03-02 02:04:56.669 4866        40.29         25
2023-03-02 02:04:56.873 4834        40.29         25
2023-03-02 02:04:57.091 4858        40.29         25
2023-03-02 02:04:57.294 4876        40.29         25
2023-03-02 02:04:57.513 4865        40.29         25
2023-03-02 02:04:57.732 4868        40.29         25
2023-03-02 02:04:57.935 4874        40.29         25
2023-03-02 02:04:58.154 4870        40.29         25
2023-03-02 02:04:58.357 4838        40.29         25
2023-03-02 02:04:58.529 4864        40.32         25
2023-03-02 02:04:58.732 4884        40.32         25
2023-03-02 02:04:58.935 4873        40.32         25
2023-03-02 02:04:59.138 4866        40.32         25
2023-03-02 02:04:59.341 4867        40.32         25
2023-03-02 02:04:59.544 4884        40.32         25
2023-03-02 02:04:59.763 4892        40.32         25
2023-03-02 02:04:59.966 4898        40.32         25
2023-03-02 02:05:00.185 4839        40.32         25
2023-03-02 02:05:00.388 4867        40.32         25
2023-03-02 02:05:00.591 4873        40.32         25
2023-03-02 02:05:00.794 4893        40.32         25
2023-03-02 02:05:01.013 4898        40.32         25
2023-03-02 02:05:01.216 4875        40.32         25
2023-03-02 02:05:01.435 4889        40.32         25
