               data_ora   rad  temperatura elevazione
2023-04-23 23:04:11.095 12338        41.87         20
2023-04-23 23:04:11.303 12326        41.87         20
2023-04-23 23:04:11.513 12430        41.87         20
2023-04-23 23:04:11.686 12509        41.87         20
2023-04-23 23:04:11.896 12542        41.87         20
2023-04-23 23:04:12.104 12625        41.87         20
2023-04-23 23:04:12.311 13104        41.87         20
2023-04-23 23:04:12.519 13190        41.87         20
2023-04-23 23:04:12.728 13133        41.87         20
2023-04-23 23:04:12.936 13483        41.87         20
2023-04-23 23:04:13.141 13387        41.87         20
2023-04-23 23:04:13.341 13259        41.87         20
2023-04-23 23:04:13.546 13484        41.87         20
2023-04-23 23:04:13.754 13407        41.87         20
2023-04-23 23:04:13.972 13412        41.87         20
2023-04-23 23:04:14.186 13432        41.87         20
2023-04-23 23:04:14.395 13423        41.87         20
2023-04-23 23:04:14.602 13484        41.87         20
2023-04-23 23:04:14.809 13447        41.87         20
2023-04-23 23:04:15.019 13428        41.87         20
2023-04-23 23:04:15.226 13403        41.87         20
2023-04-23 23:04:15.436 13393        41.87         20
2023-04-23 23:04:15.644 13371        41.87         20
2023-04-23 23:04:15.820 13297        41.87         20
2023-04-23 23:04:16.028 13309        41.87         20
2023-04-23 23:04:16.245 13137        41.87         20
2023-04-23 23:04:16.445 13317        41.87         20
2023-04-23 23:04:16.653 13254        41.87         20
2023-04-23 23:04:16.861 13158        41.87         20
2023-04-23 23:04:17.069 13284        41.87         20
2023-04-23 23:04:17.275 13169        41.87         20
2023-04-23 23:04:17.475 13143        41.87         20
2023-04-23 23:04:17.677 13225        41.87         20
2023-04-23 23:04:17.886 13087        41.87         20
2023-04-23 23:04:18.110 13102        41.87         20
2023-04-23 23:04:18.335 13071        41.87         20
2023-04-23 23:04:18.541 13092        41.87         20
2023-04-23 23:04:18.734 12940        41.87         20
2023-04-23 23:04:18.942 13011        41.87         20
2023-04-23 23:04:19.150 12990        41.87         20
2023-04-23 23:04:19.358 12905        41.87         20
2023-04-23 23:04:19.565 12978        41.87         20
2023-04-23 23:04:19.776 12826        41.84         20
2023-04-23 23:04:19.951 12848        41.87         20
2023-04-23 23:04:20.159 12846        41.87         20
2023-04-23 23:04:20.368 12703        41.84         20
2023-04-23 23:04:20.576 12781        41.87         20
2023-04-23 23:04:20.783 12766        41.84         20
2023-04-23 23:04:20.992 12759        41.84         20
2023-04-23 23:04:21.200 12895        41.84         20
2023-04-23 23:04:21.407 12840        41.87         20
2023-04-23 23:04:21.609 12874        41.87         20
2023-04-23 23:04:21.809 12919        41.84         20
2023-04-23 23:04:22.015 12999        41.87         20
2023-04-23 23:04:22.236 12989        41.87         20
2023-04-23 23:04:22.448 13046        41.87         20
2023-04-23 23:04:22.666 13032        41.87         20
2023-04-23 23:04:22.864 12931        41.84         20
2023-04-23 23:04:23.073 13145        41.84         20
2023-04-23 23:04:23.282 13203        41.84         20
2023-04-23 23:04:23.490 13093        41.84         20
2023-04-23 23:04:23.699 13224        41.84         20
2023-04-23 23:04:23.910 13097        41.84         20
2023-04-23 23:04:24.083 13184        41.84         20
2023-04-23 23:04:24.291 13236        41.84         20
2023-04-23 23:04:24.498 13220        41.87         20
2023-04-23 23:04:24.707 13233        41.87         20
2023-04-23 23:04:24.916 13175        41.87         20
2023-04-23 23:04:25.124 13188        41.87         20
2023-04-23 23:04:25.331 13143        41.87         20
2023-04-23 23:04:25.539 13210        41.87         20
2023-04-23 23:04:25.743 13289        41.87         20
2023-04-23 23:04:25.940 13155        41.87         20
2023-04-23 23:04:26.149 13223        41.87         20
2023-04-23 23:04:26.370 13093        41.87         20
2023-04-23 23:04:26.580 13258        41.87         20
2023-04-23 23:04:26.789 13172        41.87         20
2023-04-23 23:04:26.998 13072        41.87         20
2023-04-23 23:04:27.206 13180        41.87         20
2023-04-23 23:04:27.413 13181        41.87         20
2023-04-23 23:04:27.621 13186        41.87         20
2023-04-23 23:04:27.831 13255        41.87         20
2023-04-23 23:04:28.047 13276        41.87         20
2023-04-23 23:04:28.213 13266        41.87         20
2023-04-23 23:04:28.425 13346        41.87         20
2023-04-23 23:04:28.649 13449        41.87         20
2023-04-23 23:04:28.839 13353        41.87         20
2023-04-23 23:04:29.048 13422        41.87         20
2023-04-23 23:04:29.255 13426        41.87         20
2023-04-23 23:04:29.464 13339        41.87         20
2023-04-23 23:04:29.672 13448        41.87         20
2023-04-23 23:04:29.877 13308        41.87         20
2023-04-23 23:04:30.076 13343        41.87         20
2023-04-23 23:04:30.287 13471        41.87         20
2023-04-23 23:04:30.505 13222        41.87         20
2023-04-23 23:04:30.713 13288        41.87         20
2023-04-23 23:04:30.920 13211        41.84         20
2023-04-23 23:04:31.129 13217        41.84         20
2023-04-23 23:04:31.338 13320        41.84         20
2023-04-23 23:04:31.546 13192        41.84         20
2023-04-23 23:04:31.753 13235        41.84         20
2023-04-23 23:04:31.961 13299        41.87         20
2023-04-23 23:04:32.178 13167        41.87         20
2023-04-23 23:04:32.347 13156        41.87         20
2023-04-23 23:04:32.556 13208        41.87         20
2023-04-23 23:04:32.763 13157        41.87         20
2023-04-23 23:04:32.972 13091        41.87         20
2023-04-23 23:04:33.178 13309        41.87         20
2023-04-23 23:04:33.395 13216        41.87         20
2023-04-23 23:04:33.595 13197        41.87         20
2023-04-23 23:04:33.804 13330        41.87         20
2023-04-23 23:04:34.011 13251        41.84         20
2023-04-23 23:04:34.211 13317        41.87         20
2023-04-23 23:04:34.424 13320        41.87         20
