data_ora,rad,temperatura,elevazione
2023-02-17 04:04:03.008,6041,40.35,25
2023-02-17 04:04:03.215,6033,40.38,25
2023-02-17 04:04:03.425,6033,40.38,25
2023-02-17 04:04:03.632,6020,40.35,25
2023-02-17 04:04:03.841,6006,40.38,25
2023-02-17 04:04:04.048,6048,40.35,25
2023-02-17 04:04:04.259,6048,40.35,25
2023-02-17 04:04:04.466,6063,40.35,25
2023-02-17 04:04:04.678,6064,40.38,25
2023-02-17 04:04:04.849,6080,40.35,25
2023-02-17 04:04:05.058,6063,40.35,25
2023-02-17 04:04:05.266,6041,40.38,25
2023-02-17 04:04:05.474,6029,40.35,25
2023-02-17 04:04:05.683,6012,40.35,25
2023-02-17 04:04:05.889,6011,40.38,25
2023-02-17 04:04:06.097,6051,40.38,25
2023-02-17 04:04:06.297,6025,40.35,25
2023-02-17 04:04:06.499,6006,40.35,25
2023-02-17 04:04:06.708,6049,40.35,25
2023-02-17 04:04:06.922,6029,40.38,25
2023-02-17 04:04:07.139,5993,40.35,25
2023-02-17 04:04:07.346,6024,40.35,25
2023-02-17 04:04:07.557,6039,40.35,25
2023-02-17 04:04:07.763,6007,40.35,25
2023-02-17 04:04:07.971,5987,40.35,25
2023-02-17 04:04:08.180,5957,40.35,25
2023-02-17 04:04:08.389,5962,40.35,25
2023-02-17 04:04:08.597,5938,40.35,25
2023-02-17 04:04:08.773,5913,40.35,25
2023-02-17 04:04:08.981,5907,40.35,25
2023-02-17 04:04:09.189,5898,40.35,25
2023-02-17 04:04:09.397,5893,40.35,25
2023-02-17 04:04:09.604,5909,40.35,25
2023-02-17 04:04:09.812,5883,40.35,25
2023-02-17 04:04:10.020,5887,40.38,25
2023-02-17 04:04:10.222,5919,40.38,25
2023-02-17 04:04:10.420,5888,40.35,25
2023-02-17 04:04:10.629,5876,40.38,25
2023-02-17 04:04:10.837,5909,40.38,25
2023-02-17 04:04:11.052,5950,40.38,25
2023-02-17 04:04:11.269,5920,40.38,25
2023-02-17 04:04:11.477,5914,40.38,25
2023-02-17 04:04:11.686,5901,40.38,25
2023-02-17 04:04:11.893,5908,40.38,25
2023-02-17 04:04:12.102,5871,40.38,25
2023-02-17 04:04:12.310,5885,40.38,25
2023-02-17 04:04:12.518,5838,40.35,25
2023-02-17 04:04:12.725,5838,40.35,25
2023-02-17 04:04:12.903,5866,40.35,25
2023-02-17 04:04:13.111,5854,40.35,25
2023-02-17 04:04:13.319,5876,40.35,25
2023-02-17 04:04:13.527,5889,40.35,25
2023-02-17 04:04:13.735,5913,40.35,25
2023-02-17 04:04:13.944,5897,40.35,25
2023-02-17 04:04:14.143,5914,40.35,25
2023-02-17 04:04:14.346,5884,40.38,25
2023-02-17 04:04:14.551,5879,40.38,25
2023-02-17 04:04:14.760,5894,40.35,25
2023-02-17 04:04:14.972,5932,40.38,25
2023-02-17 04:04:15.188,5959,40.38,25
2023-02-17 04:04:15.400,5950,40.38,25
2023-02-17 04:04:15.607,5932,40.38,25
2023-02-17 04:04:15.816,5957,40.38,25
2023-02-17 04:04:16.025,5934,40.38,25
2023-02-17 04:04:16.233,5948,40.38,25
2023-02-17 04:04:16.440,5956,40.38,25
2023-02-17 04:04:16.649,5953,40.38,25
2023-02-17 04:04:16.825,5975,40.38,25
2023-02-17 04:04:17.033,5979,40.38,25
2023-02-17 04:04:17.242,5953,40.38,25
2023-02-17 04:04:17.449,5973,40.38,25
2023-02-17 04:04:17.656,5985,40.38,25
2023-02-17 04:04:17.864,5969,40.35,25
2023-02-17 04:04:18.071,5960,40.35,25
2023-02-17 04:04:18.270,5998,40.35,25
2023-02-17 04:04:18.474,5971,40.35,25
2023-02-17 04:04:18.682,5974,40.35,25
2023-02-17 04:04:18.888,5950,40.35,25
2023-02-17 04:04:19.109,5943,40.35,25
2023-02-17 04:04:19.323,5925,40.35,25
2023-02-17 04:04:19.531,5919,40.35,25
2023-02-17 04:04:19.738,5923,40.35,25
2023-02-17 04:04:19.945,5919,40.35,25
2023-02-17 04:04:20.155,5919,40.35,25
2023-02-17 04:04:20.363,5925,40.35,25
2023-02-17 04:04:20.571,5964,40.35,25
2023-02-17 04:04:20.747,5948,40.35,25
2023-02-17 04:04:20.956,5971,40.35,25
2023-02-17 04:04:21.163,5991,40.35,25
2023-02-17 04:04:21.372,5961,40.35,25
2023-02-17 04:04:21.580,5971,40.35,25
2023-02-17 04:04:21.788,5937,40.38,25
