data_ora,rad,temperatura,elevazione
2023-02-17 04:43:48.172,6503,40.32,50
2023-02-17 04:43:48.382,6497,40.32,50
2023-02-17 04:43:48.590,6450,40.32,50
2023-02-17 04:43:48.798,6410,40.32,50
2023-02-17 04:43:49.006,6365,40.32,50
2023-02-17 04:43:49.212,6282,40.32,50
2023-02-17 04:43:49.388,6199,40.32,50
2023-02-17 04:43:49.598,6140,40.32,50
2023-02-17 04:43:49.805,6093,40.32,50
2023-02-17 04:43:50.014,6028,40.32,50
2023-02-17 04:43:50.217,5981,40.32,50
2023-02-17 04:43:50.418,5945,40.32,50
2023-02-17 04:43:50.622,5882,40.32,50
2023-02-17 04:43:50.831,5843,40.32,50
2023-02-17 04:43:51.040,5758,40.32,50
2023-02-17 04:43:51.244,5682,40.32,50
2023-02-17 04:43:51.449,5571,40.32,50
2023-02-17 04:43:51.657,5483,40.32,50
2023-02-17 04:43:51.878,5411,40.32,50
2023-02-17 04:43:52.094,5343,40.32,50
2023-02-17 04:43:52.301,5259,40.32,50
2023-02-17 04:43:52.507,5178,40.32,50
2023-02-17 04:43:52.718,5125,40.32,50
2023-02-17 04:43:52.926,5071,40.32,50
2023-02-17 04:43:53.134,5048,40.32,50
2023-02-17 04:43:53.327,5028,40.32,50
2023-02-17 04:43:53.529,4982,40.32,50
2023-02-17 04:43:53.728,4983,40.32,50
2023-02-17 04:43:53.934,4969,40.32,50
2023-02-17 04:43:54.143,4974,40.32,50
2023-02-17 04:43:54.346,4943,40.32,50
2023-02-17 04:43:54.547,4925,40.32,50
2023-02-17 04:43:54.752,4886,40.32,50
2023-02-17 04:43:54.960,4849,40.32,50
2023-02-17 04:43:55.169,4793,40.32,50
2023-02-17 04:43:55.376,4754,40.32,50
2023-02-17 04:43:55.579,4746,40.32,50
2023-02-17 04:43:55.798,4727,40.32,50
2023-02-17 04:43:56.015,4753,40.32,50
2023-02-17 04:43:56.225,4780,40.32,50
2023-02-17 04:43:56.433,4844,40.32,50
2023-02-17 04:43:56.637,4934,40.32,50
2023-02-17 04:43:56.849,5024,40.32,50
2023-02-17 04:43:57.058,5144,40.32,50
2023-02-17 04:43:57.266,5266,40.32,50
2023-02-17 04:43:57.441,5339,40.32,50
2023-02-17 04:43:57.645,5399,40.32,50
2023-02-17 04:43:57.858,5464,40.32,50
2023-02-17 04:43:58.066,5477,40.32,50
2023-02-17 04:43:58.274,5483,40.32,50
2023-02-17 04:43:58.473,5437,40.32,50
2023-02-17 04:43:58.669,5357,40.32,50
2023-02-17 04:43:58.881,5321,40.32,50
2023-02-17 04:43:59.089,5234,40.32,50
2023-02-17 04:43:59.298,5168,40.32,50
2023-02-17 04:43:59.506,5065,40.32,50
2023-02-17 04:43:59.711,5003,40.32,50
2023-02-17 04:43:59.934,4950,40.32,50
2023-02-17 04:44:00.140,4877,40.32,50
2023-02-17 04:44:00.355,4803,40.32,50
2023-02-17 04:44:00.563,4798,40.32,50
2023-02-17 04:44:00.771,4798,40.32,50
2023-02-17 04:44:00.979,4837,40.32,50
2023-02-17 04:44:01.188,4902,40.32,50
2023-02-17 04:44:01.364,5007,40.32,50
2023-02-17 04:44:01.572,5147,40.32,50
2023-02-17 04:44:01.776,5301,40.32,50
2023-02-17 04:44:01.988,5479,40.32,50
2023-02-17 04:44:02.196,5611,40.32,50
2023-02-17 04:44:02.402,5672,40.32,50
2023-02-17 04:44:02.602,5710,40.32,50
2023-02-17 04:44:02.799,5708,40.32,50
2023-02-17 04:44:03.012,5705,40.32,50
2023-02-17 04:44:03.220,5653,40.32,50
2023-02-17 04:44:03.428,5599,40.32,50
2023-02-17 04:44:03.636,5476,40.32,50
2023-02-17 04:44:03.854,5435,40.32,50
2023-02-17 04:44:04.083,5368,40.32,50
2023-02-17 04:44:04.277,5392,40.32,50
2023-02-17 04:44:04.485,5399,40.32,50
2023-02-17 04:44:04.694,5421,40.32,50
2023-02-17 04:44:04.895,5473,40.32,50
2023-02-17 04:44:05.109,5547,40.32,50
2023-02-17 04:44:05.316,5591,40.32,50
2023-02-17 04:44:05.493,5647,40.32,50
2023-02-17 04:44:05.701,5645,40.32,50
2023-02-17 04:44:05.902,5621,40.32,50
2023-02-17 04:44:06.118,5579,40.32,50
2023-02-17 04:44:06.325,5535,40.32,50
2023-02-17 04:44:06.528,5415,40.32,50
2023-02-17 04:44:06.725,5298,40.32,50
2023-02-17 04:44:06.928,5208,40.32,50
2023-02-17 04:44:07.142,5107,40.32,50
2023-02-17 04:44:07.349,4995,40.32,50
2023-02-17 04:44:07.558,4892,40.32,50
2023-02-17 04:44:07.773,4814,40.32,50
2023-02-17 04:44:07.983,4755,40.32,50
2023-02-17 04:44:08.198,4713,40.29,50
2023-02-17 04:44:08.407,4689,40.29,50
2023-02-17 04:44:08.615,4676,40.29,50
2023-02-17 04:44:08.821,4673,40.29,50
2023-02-17 04:44:09.028,4690,40.29,50
2023-02-17 04:44:09.239,4697,40.29,50
2023-02-17 04:44:09.415,4752,40.32,50
2023-02-17 04:44:09.622,4753,40.32,50
2023-02-17 04:44:09.832,4785,40.29,50
2023-02-17 04:44:10.035,4789,40.29,50
2023-02-17 04:44:10.248,4813,40.29,50
