               data_ora   rad  temperatura  elevazione
2022-12-25 02:35:19.310  4507        40.35        20.0
2022-12-25 02:35:19.513  4506        40.35        20.0
2022-12-25 02:35:19.731  4515        40.35        20.0
2022-12-25 02:35:19.935  4522        40.35        20.0
2022-12-25 02:35:20.138  4510        40.35        20.0
2022-12-25 02:35:20.341  4523        40.38        20.0
2022-12-25 02:35:20.560  4506        40.35        20.0
2022-12-25 02:35:20.763  4515        40.35        20.0
2022-12-25 02:35:20.966  4503        40.38        20.0
2022-12-25 02:35:21.185  4505        40.38        20.0
2022-12-25 02:35:21.388  4522        40.38        20.0
2022-12-25 02:35:21.606  4497        40.38        20.0
2022-12-25 02:35:21.825  4500        40.38        20.0
2022-12-25 02:35:22.028  4517        40.38        20.0
2022-12-25 02:35:22.247  4517        40.38        20.0
2022-12-25 02:35:22.435  4504        40.38        20.0
2022-12-25 02:35:22.653  4497        40.38        20.0
2022-12-25 02:35:22.825  4502        40.38        20.0
2022-12-25 02:35:23.028  4495        40.38        20.0
2022-12-25 02:35:23.247  4489        40.38        20.0
2022-12-25 02:35:23.481  4498        40.38        20.0
2022-12-25 02:35:23.653  4502        40.35        20.0
2022-12-25 02:35:23.856  4511        40.35        20.0
2022-12-25 02:35:24.059  4497        40.35        20.0
2022-12-25 02:35:24.263  4513        40.35        20.0
2022-12-25 02:35:24.466  4504        40.35        20.0
2022-12-25 02:35:24.684  4520        40.38        20.0
2022-12-25 02:35:24.888  4497        40.35        20.0
2022-12-25 02:35:25.106  4519        40.35        20.0
2022-12-25 02:35:25.325  4502        40.35        20.0
2022-12-25 02:35:25.528  4505        40.35        20.0
2022-12-25 02:35:25.731  4493        40.35        20.0
2022-12-25 02:35:25.950  4491        40.35        20.0
2022-12-25 02:35:26.153  4499        40.35        20.0
2022-12-25 02:35:26.356  4500        40.35        20.0
2022-12-25 02:35:26.559  4490        40.35        20.0
2022-12-25 02:35:26.778  4503        40.35        20.0
2022-12-25 02:35:26.950  4489        40.35        20.0
2022-12-25 02:39:24.187  4199        40.29        25.0
2022-12-25 02:39:24.406  4195        40.29        25.0
2022-12-25 02:39:24.609  4207        40.29        25.0
2022-12-25 02:39:24.812  4180        40.29        25.0
2022-12-25 02:39:25.031  4194        40.29        25.0
2022-12-25 02:39:25.234  4198        40.29        25.0
2022-12-25 02:39:25.406  4201        40.29        25.0
2022-12-25 02:39:25.609  4192        40.29        25.0
2022-12-25 02:39:25.859  4192        40.29        25.0
2022-12-25 02:39:26.031  4191        40.29        25.0
2022-12-25 02:39:26.234  4172        40.29        25.0
2022-12-25 02:39:26.452  4204        40.29        25.0
2022-12-25 02:39:26.656  4205        40.29        25.0
2022-12-25 02:39:26.859  4194        40.29        25.0
2022-12-25 02:39:27.062  4205        40.29        25.0
2022-12-25 02:39:27.265  4210        40.29        25.0
2022-12-25 02:39:27.484  4207        40.29        25.0
2022-12-25 02:39:27.687  4198        40.32        25.0
2022-12-25 02:39:27.906  4200        40.29        25.0
2022-12-25 02:39:28.109  4195        40.29        25.0
2022-12-25 02:39:28.312  4191        40.29        25.0
2022-12-25 02:39:28.515  4191        40.29        25.0
2022-12-25 02:39:28.734  4211        40.32        25.0
2022-12-25 02:39:28.952  4210        40.32        25.0
2022-12-25 02:39:29.187  4191        40.32        25.0
2022-12-25 02:39:29.374  4208        40.32        25.0
2022-12-25 02:39:29.546  4212        40.32        25.0
2022-12-25 02:39:29.734  4206        40.29        25.0
2022-12-25 02:39:29.937  4208        40.29        25.0
2022-12-25 02:39:30.155  4219        40.29        25.0
2022-12-25 02:39:30.359  4208        40.29        25.0
2022-12-25 02:39:30.562  4197        40.29        25.0
2022-12-25 02:39:30.780  4216        40.29        25.0
2022-12-25 02:39:30.984  4225        40.32        25.0
2022-12-25 02:39:31.187  4216        40.29        25.0
2022-12-25 02:39:31.390  4223        40.32        25.0
2022-12-25 02:39:31.609  4225        40.32        25.0
2022-12-25 02:39:31.812  4211        40.32        25.0
2022-12-25 02:39:32.015  4203        40.32        25.0
2022-12-25 02:39:32.249  4211        40.32        25.0
2022-12-25 02:39:32.452  4223        40.32        25.0
2022-12-25 02:39:32.655  4221        40.32        25.0
2022-12-25 02:39:32.874  4211        40.32        25.0
2022-12-25 02:39:33.077  4211        40.32        25.0
2022-12-25 02:39:33.280  4219        40.32        25.0
2022-12-25 02:39:33.499  4244        40.32        25.0
2022-12-25 02:39:33.671  4232        40.32        25.0
2022-12-25 02:39:33.874  4231        40.32        25.0
2022-12-25 02:39:34.077  4240        40.32        25.0
2022-12-25 02:39:34.296  4224        40.32        25.0
2022-12-25 02:39:34.499  4230        40.32        25.0
2022-12-25 02:39:34.702  4247        40.32        25.0
2022-12-25 02:39:34.905  4247        40.32        25.0
2022-12-25 02:39:35.108  4244        40.35        25.0
2022-12-25 02:39:35.312  4250        40.35        25.0
2022-12-25 02:39:35.515  4242        40.35        25.0
2022-12-25 02:39:35.733  4234        40.35        25.0
2022-12-25 02:39:35.952  4239        40.35        25.0
2022-12-25 02:42:57.048  3838        40.32        30.0
2022-12-25 02:42:57.267  3840        40.32        30.0
2022-12-25 02:42:57.470  3833        40.32        30.0
2022-12-25 02:42:57.642  3832        40.32        30.0
2022-12-25 02:42:57.845  3839        40.32        30.0
2022-12-25 02:42:58.048  3831        40.32        30.0
2022-12-25 02:42:58.267  3839        40.32        30.0
2022-12-25 02:42:58.454  3820        40.32        30.0
2022-12-25 02:42:58.673  3850        40.32        30.0
2022-12-25 02:42:58.876  3852        40.32        30.0
2022-12-25 02:42:59.079  3824        40.32        30.0
2022-12-25 02:42:59.282  3843        40.32        30.0
2022-12-25 02:42:59.501  3839        40.32        30.0
2022-12-25 02:42:59.704  3838        40.32        30.0
2022-12-25 02:42:59.907  3837        40.32        30.0
2022-12-25 02:43:00.126  3854        40.32        30.0
2022-12-25 02:43:00.329  3862        40.32        30.0
2022-12-25 02:43:00.548  3849        40.32        30.0
2022-12-25 02:43:00.751  3845        40.32        30.0
2022-12-25 02:43:00.970  3837        40.32        30.0
2022-12-25 02:43:01.188  3842        40.32        30.0
2022-12-25 02:43:01.376  3840        40.32        30.0
2022-12-25 02:43:01.595  3848        40.32        30.0
2022-12-25 02:43:01.766  3851        40.32        30.0
2022-12-25 02:43:01.970  3842        40.32        30.0
2022-12-25 02:43:02.188  3833        40.32        30.0
2022-12-25 02:43:02.423  3837        40.32        30.0
2022-12-25 02:43:02.595  3862        40.32        30.0
2022-12-25 02:43:02.798  3838        40.32        30.0
2022-12-25 02:43:03.016  3860        40.32        30.0
2022-12-25 02:43:03.220  3850        40.32        30.0
2022-12-25 02:43:03.407  3844        40.35        30.0
2022-12-25 02:43:03.641  3851        40.35        30.0
2022-12-25 02:43:03.844  3842        40.35        30.0
2022-12-25 02:43:04.048  3846        40.35        30.0
2022-12-25 02:43:04.251  3853        40.35        30.0
2022-12-25 02:43:04.469  3838        40.35        30.0
2022-12-25 02:43:04.673  3859        40.35        30.0
2022-12-25 02:43:04.876  3839        40.35        30.0
2022-12-25 02:43:05.094  3855        40.32        30.0
2022-12-25 02:43:05.298  3850        40.32        30.0
2022-12-25 02:43:05.516  3850        40.35        30.0
2022-12-25 02:43:05.766  3836        40.35        30.0
2022-12-25 02:43:05.891  3838        40.35        30.0
2022-12-25 02:43:06.094  3845        40.35        30.0
2022-12-25 02:43:06.298  3841        40.35        30.0
2022-12-25 02:43:06.516  3834        40.35        30.0
2022-12-25 02:43:06.719  3853        40.35        30.0
2022-12-25 02:43:06.923  3848        40.35        30.0
2022-12-25 02:43:07.141  3837        40.35        30.0
2022-12-25 02:43:07.344  3838        40.35        30.0
2022-12-25 02:43:07.547  3848        40.35        30.0
2022-12-25 02:43:07.751  3854        40.35        30.0
2022-12-25 02:43:07.969  3837        40.35        30.0
2022-12-25 02:43:08.173  3839        40.35        30.0
2022-12-25 02:43:08.376  3832        40.35        30.0
2022-12-25 02:43:08.594  3840        40.35        30.0
2022-12-25 02:43:08.797  3839        40.35        30.0
2022-12-25 02:43:09.016  3841        40.35        30.0
2022-12-25 02:43:09.235  3838        40.35        30.0
2022-12-25 02:43:09.438  3844        40.35        30.0
2022-12-25 02:43:09.641  3842        40.35        30.0
2022-12-25 02:43:09.844  3857        40.35        30.0
2022-12-25 02:43:10.032  3838        40.35        30.0
2022-12-25 02:43:10.235  3854        40.35        30.0
2022-12-25 02:43:10.438  3849        40.35        30.0
2022-12-25 02:43:10.657  3845        40.35        30.0
2022-12-25 02:43:10.860  3857        40.35        30.0
2022-12-25 02:43:11.063  3849        40.35        30.0
2022-12-25 02:43:11.266  3851        40.35        30.0
2022-12-25 02:43:11.469  3857        40.35        30.0
2022-12-25 02:43:11.672  3842        40.35        30.0
2022-12-25 02:43:11.876  3848        40.35        30.0
2022-12-25 02:43:12.094  3862        40.35        30.0
2022-12-25 02:43:12.297  3829        40.35        30.0
2022-12-25 02:43:12.516  3845        40.35        30.0
2022-12-25 02:43:12.719  3859        40.35        30.0
2022-12-25 02:43:12.938  3831        40.35        30.0
2022-12-25 02:43:13.141  3855        40.35        30.0
2022-12-25 02:43:13.344  3846        40.35        30.0
2022-12-25 02:43:13.563  3833        40.35        30.0
2022-12-25 02:43:13.766  3837        40.35        30.0
2022-12-25 02:43:13.985  3841        40.35        30.0
2022-12-25 02:43:14.157  3847        40.35        30.0
2022-12-25 02:43:14.360  3838        40.35        30.0
2022-12-25 02:43:14.563  3851        40.35        30.0
2022-12-25 02:43:14.766  3840        40.35        30.0
2022-12-25 02:43:14.985  3847        40.35        30.0
2022-12-25 02:43:15.188  3849        40.35        30.0
2022-12-25 02:43:15.391  3851        40.35        30.0
2022-12-25 02:43:15.594  3837        40.35        30.0
2022-12-25 02:43:15.813  3844        40.35        30.0
2022-12-25 02:43:16.016  3852        40.35        30.0
2022-12-25 02:43:16.219  3844        40.35        30.0
2022-12-25 02:43:16.438  3838        40.35        30.0
2022-12-25 02:43:16.641  3847        40.35        30.0
2022-12-25 02:43:16.844  3844        40.35        30.0
2022-12-25 02:43:17.063  3831        40.35        30.0
2022-12-25 02:43:17.266  3824        40.35        30.0
2022-12-25 02:43:17.485  3839        40.35        30.0
2022-12-25 02:43:17.688  3823        40.35        30.0
2022-12-25 02:43:17.907  3841        40.35        30.0
2022-12-25 02:43:18.110  3831        40.35        30.0
2022-12-25 02:43:18.282  3831        40.35        30.0
2022-12-25 02:43:18.500  3834        40.35        30.0
2022-12-25 02:43:18.703  3819        40.35        30.0
2022-12-25 02:43:18.938  3836        40.35        30.0
2022-12-25 02:43:19.094  3827        40.35        30.0
2022-12-25 02:43:19.313  3847        40.35        30.0
2022-12-25 02:43:19.516  3846        40.35        30.0
2022-12-25 02:43:19.719  3824        40.35        30.0
2022-12-25 02:43:19.938  3839        40.35        30.0
2022-12-25 02:43:20.157  3843        40.35        30.0
2022-12-25 02:43:20.344  3827        40.35        30.0
2022-12-25 02:43:20.563  3825        40.32        30.0
2022-12-25 02:43:20.766  3842        40.32        30.0
2022-12-25 02:43:20.985  3847        40.32        30.0
2022-12-25 02:43:21.188  3850        40.32        30.0
2022-12-25 02:43:21.406  3842        40.32        30.0
2022-12-25 02:43:21.610  3857        40.32        30.0
2022-12-25 02:43:21.813  3836        40.32        30.0
2022-12-25 02:43:22.031  3845        40.32        30.0
2022-12-25 02:43:22.235  3842        40.32        30.0
2022-12-25 02:43:22.406  3834        40.32        30.0
2022-12-25 02:43:22.610  3839        40.32        30.0
2022-12-25 02:43:22.828  3840        40.32        30.0
2022-12-25 02:43:23.031  3852        40.32        30.0
2022-12-25 02:43:23.235  3840        40.32        30.0
2022-12-25 02:43:23.453  3838        40.32        30.0
2022-12-25 02:43:23.656  3856        40.32        30.0
2022-12-25 02:43:23.860  3842        40.32        30.0
2022-12-25 02:43:24.063  3836        40.32        30.0
2022-12-25 02:43:24.266  3845        40.32        30.0
2022-12-25 02:43:24.485  3827        40.32        30.0
2022-12-25 02:43:24.688  3852        40.32        30.0
2022-12-25 02:43:24.906  3841        40.32        30.0
2022-12-25 02:43:25.125  3830        40.32        30.0
2022-12-25 02:43:25.313  3847        40.32        30.0
2022-12-25 02:43:25.531  3852        40.32        30.0
2022-12-25 02:43:25.734  3845        40.32        30.0
2022-12-25 02:43:25.953  3839        40.32        30.0
2022-12-25 02:43:26.172  3842        40.29        30.0
2022-12-25 02:43:26.375  3845        40.29        30.0
2022-12-25 02:43:26.578  3848        40.29        30.0
2022-12-25 02:43:26.750  3841        40.29        30.0
2022-12-25 02:43:26.953  3835        40.29        30.0
2022-12-25 02:43:27.156  3827        40.29        30.0
2022-12-25 02:43:27.359  3840        40.29        30.0
2022-12-25 02:43:27.563  3831        40.29        30.0
2022-12-25 02:43:27.813  3843        40.29        30.0
2022-12-25 02:43:27.984  3860        40.29        30.0
2022-12-25 02:43:28.188  3836        40.29        30.0
2022-12-25 02:43:28.406  3837        40.29        30.0
2022-12-25 02:43:28.609  3837        40.29        30.0
2022-12-25 02:43:28.813  3836        40.29        30.0
2022-12-25 02:43:29.031  3824        40.29        30.0
2022-12-25 02:43:29.234  3838        40.29        30.0
2022-12-25 02:43:29.453  3841        40.29        30.0
2022-12-25 02:43:29.672  3850        40.29        30.0
2022-12-25 02:43:29.875  3836        40.29        30.0
2022-12-25 02:43:30.078  3833        40.29        30.0
2022-12-25 02:43:30.281  3844        40.29        30.0
2022-12-25 02:43:30.500  3839        40.29        30.0
2022-12-25 02:43:30.672  3836        40.29        30.0
2022-12-25 02:43:30.875  3845        40.29        30.0
2022-12-25 02:43:31.094  3830        40.29        30.0
2022-12-25 02:43:31.297  3833        40.29        30.0
2022-12-25 02:43:31.500  3831        40.29        30.0
2022-12-25 02:43:31.703  3844        40.29        30.0
2022-12-25 02:43:31.906  3836        40.29        30.0
2022-12-25 02:43:32.109  3839        40.29        30.0
2022-12-25 02:43:32.312  3835        40.29        30.0
2022-12-25 02:43:32.516  3847        40.29        30.0
2022-12-25 02:43:32.734  3851        40.29        30.0
2022-12-25 02:43:32.937  3844        40.29        30.0
2022-12-25 02:43:33.156  3853        40.29        30.0
2022-12-25 02:43:33.375  3845        40.29        30.0
2022-12-25 02:43:33.594  3839        40.29        30.0
2022-12-25 02:43:33.781  3853        40.29        30.0
2022-12-25 02:43:34.000  3832        40.29        30.0
2022-12-25 02:43:34.203  3837        40.29        30.0
2022-12-25 02:43:34.406  3858        40.29        30.0
2022-12-25 02:43:34.625  3836        40.29        30.0
2022-12-25 02:43:34.844  3836        40.29        30.0
2022-12-25 02:43:35.000  3850        40.29        30.0
2022-12-25 02:43:35.203  3831        40.29        30.0
2022-12-25 02:43:35.437  3808        40.29        30.0
2022-12-25 02:43:35.625  3832        40.29        30.0
2022-12-25 02:43:35.828  3852        40.29        30.0
2022-12-25 02:43:36.031  3837        40.29        30.0
2022-12-25 02:43:36.250  3833        40.29        30.0
2022-12-25 02:43:36.453  3849        40.29        30.0
2022-12-25 02:43:36.656  3851        40.29        30.0
2022-12-25 02:43:36.875  3844        40.29        30.0
2022-12-25 02:43:37.078  3838        40.29        30.0
2022-12-25 02:43:37.281  3845        40.29        30.0
2022-12-25 02:43:37.500  3844        40.29        30.0
2022-12-25 02:43:37.703  3861        40.29        30.0
2022-12-25 02:43:37.906  3832        40.29        30.0
2022-12-25 02:43:38.125  3848        40.29        30.0
2022-12-25 02:43:38.344  3845        40.29        30.0
2022-12-25 02:43:38.547  3856        40.29        30.0
2022-12-25 02:43:38.781  3846        40.29        30.0
2022-12-25 02:43:38.937  3837        40.29        30.0
2022-12-25 02:43:39.140  3834        40.29        30.0
2022-12-25 02:43:39.359  3837        40.29        30.0
2022-12-25 02:43:39.547  3849        40.32        30.0
2022-12-25 02:43:39.750  3850        40.32        30.0
