RAL10
Sampling=1
Gain=1
Zero_base=6877
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 09:01:05.729 7856 41.20
04/18/2023 09:01:05.938 7855 41.20
04/18/2023 09:01:06.147 7852 41.20
04/18/2023 09:01:06.354 7863 41.20
04/18/2023 09:01:06.562 7859 41.20
04/18/2023 09:01:06.770 7851 41.20
04/18/2023 09:01:06.979 7858 41.20
04/18/2023 09:01:07.196 7854 41.20
04/18/2023 09:01:07.411 7851 41.17
04/18/2023 09:01:07.618 7856 41.17
04/18/2023 09:01:07.791 7856 41.17
04/18/2023 09:01:07.988 7856 41.17
04/18/2023 09:01:08.196 7850 41.17
04/18/2023 09:01:08.404 7849 41.17
04/18/2023 09:01:08.612 7852 41.20
04/18/2023 09:01:08.820 7847 41.20
04/18/2023 09:01:09.029 7849 41.17
04/18/2023 09:01:09.237 7857 41.17
04/18/2023 09:01:09.446 7858 41.17
04/18/2023 09:01:09.653 7854 41.20
04/18/2023 09:01:09.861 7856 41.20
04/18/2023 09:01:10.064 7854 41.20
04/18/2023 09:01:10.271 7849 41.17
04/18/2023 09:01:10.485 7848 41.17
04/18/2023 09:01:10.694 7858 41.17
04/18/2023 09:01:10.902 7851 41.17
04/18/2023 09:01:11.110 7856 41.17
04/18/2023 09:01:11.324 7855 41.17
04/18/2023 09:01:11.541 7865 41.17
04/18/2023 09:01:11.750 7851 41.17
04/18/2023 09:01:11.919 7852 41.17
04/18/2023 09:01:12.120 7858 41.17
04/18/2023 09:01:12.328 7849 41.17
04/18/2023 09:01:12.535 7848 41.17
04/18/2023 09:01:12.744 7846 41.17
04/18/2023 09:01:12.952 7848 41.17
04/18/2023 09:01:13.160 7857 41.17
04/18/2023 09:01:13.370 7858 41.17
04/18/2023 09:01:13.593 7870 41.17
04/18/2023 09:01:13.785 7863 41.17
04/18/2023 09:01:14.013 7854 41.17
04/18/2023 09:01:14.218 7854 41.17
04/18/2023 09:01:14.410 7852 41.17
04/18/2023 09:01:14.618 7852 41.17
04/18/2023 09:01:14.826 7840 41.17
04/18/2023 09:01:15.035 7857 41.17
04/18/2023 09:01:15.243 7858 41.17
04/18/2023 09:01:15.454 7852 41.17
04/18/2023 09:01:15.670 7857 41.17
04/18/2023 09:01:15.881 7853 41.17
04/18/2023 09:01:16.046 7854 41.17
04/18/2023 09:01:16.250 7851 41.17
04/18/2023 09:01:16.459 7850 41.17
04/18/2023 09:01:16.667 7862 41.17
04/18/2023 09:01:16.875 7856 41.17
04/18/2023 09:01:17.083 7854 41.17
04/18/2023 09:01:17.290 7846 41.17
04/18/2023 09:01:17.500 7851 41.17
04/18/2023 09:01:17.707 7859 41.17
04/18/2023 09:01:17.911 7851 41.17
04/18/2023 09:01:18.124 7857 41.17
04/18/2023 09:01:18.332 7857 41.17
04/18/2023 09:01:18.541 7856 41.17
04/18/2023 09:01:18.749 7856 41.17
04/18/2023 09:01:18.957 7853 41.17
04/18/2023 09:01:19.165 7851 41.17
04/18/2023 09:01:19.374 7857 41.17
04/18/2023 09:01:19.582 7850 41.17
04/18/2023 09:01:19.794 7844 41.17
04/18/2023 09:01:20.012 7852 41.17
04/18/2023 09:01:20.174 7858 41.17
04/18/2023 09:01:20.382 7853 41.20
04/18/2023 09:01:20.591 7853 41.17
04/18/2023 09:01:20.799 7858 41.17
04/18/2023 09:01:21.006 7859 41.17
04/18/2023 09:01:21.215 7858 41.17
04/18/2023 09:01:21.428 7853 41.17
04/18/2023 09:01:21.632 7854 41.17
04/18/2023 09:01:21.837 7857 41.17
04/18/2023 09:01:22.037 7852 41.17
04/18/2023 09:01:22.249 7849 41.17
04/18/2023 09:01:22.465 7857 41.17
04/18/2023 09:01:22.673 7862 41.17
04/18/2023 09:01:22.882 7845 41.17
04/18/2023 09:01:23.104 7862 41.17
04/18/2023 09:01:23.312 7857 41.17
04/18/2023 09:01:23.520 7859 41.17
04/18/2023 09:01:23.713 7859 41.17
04/18/2023 09:01:23.921 7850 41.17
04/18/2023 09:01:24.137 7857 41.17
04/18/2023 09:01:24.305 7849 41.17
04/18/2023 09:01:24.514 7856 41.17
04/18/2023 09:01:24.722 7846 41.17
04/18/2023 09:01:24.931 7852 41.17
04/18/2023 09:01:25.139 7843 41.17
04/18/2023 09:01:25.347 7857 41.17
04/18/2023 09:01:25.554 7842 41.17
04/18/2023 09:01:25.762 7852 41.17
04/18/2023 09:01:25.966 7847 41.17
04/18/2023 09:01:26.162 7852 41.17
04/18/2023 09:01:26.371 7852 41.17
04/18/2023 09:01:26.591 7849 41.17
04/18/2023 09:01:26.804 7858 41.17
04/18/2023 09:01:27.013 7857 41.17
04/18/2023 09:01:27.221 7854 41.17
04/18/2023 09:01:27.428 7849 41.17
04/18/2023 09:01:27.636 7852 41.17
04/18/2023 09:01:27.845 7859 41.17
04/18/2023 09:01:28.053 7854 41.17
04/18/2023 09:01:28.266 7849 41.17
04/18/2023 09:01:28.441 7850 41.17
04/18/2023 09:01:28.645 7852 41.17
04/18/2023 09:01:28.854 7855 41.17
04/18/2023 09:01:29.062 7849 41.17
04/18/2023 09:01:29.271 7853 41.17
04/18/2023 09:01:29.478 7860 41.17
04/18/2023 09:01:29.687 7850 41.17
04/18/2023 09:01:29.893 7853 41.17
04/18/2023 09:01:30.092 7859 41.17
04/18/2023 09:01:30.295 7855 41.17
04/18/2023 09:01:30.507 7859 41.17
04/18/2023 09:01:30.725 7856 41.17
04/18/2023 09:01:30.935 7848 41.17
04/18/2023 09:01:31.144 7850 41.17
04/18/2023 09:01:31.351 7850 41.17
04/18/2023 09:01:31.560 7848 41.17
04/18/2023 09:01:31.769 7859 41.17
04/18/2023 09:01:31.992 7857 41.17
04/18/2023 09:01:32.185 7857 41.17
04/18/2023 09:01:32.398 7857 41.17
04/18/2023 09:01:32.569 7862 41.17
04/18/2023 09:01:32.776 7848 41.17
04/18/2023 09:01:32.984 7850 41.17
04/18/2023 09:01:33.192 7850 41.17
04/18/2023 09:01:33.402 7860 41.17
04/18/2023 09:01:33.609 7866 41.17
04/18/2023 09:01:33.817 7860 41.17
04/18/2023 09:01:34.021 7846 41.17
04/18/2023 09:01:34.218 7855 41.17
04/18/2023 09:01:34.426 7853 41.17
04/18/2023 09:01:34.635 7862 41.17
04/18/2023 09:01:34.854 7857 41.17
04/18/2023 09:01:35.067 7867 41.17
04/18/2023 09:01:35.275 7868 41.17
04/18/2023 09:01:35.483 7864 41.17
04/18/2023 09:01:35.692 7862 41.17
04/18/2023 09:01:35.900 7860 41.17
04/18/2023 09:01:36.108 7868 41.17
04/18/2023 09:01:36.316 7887 41.17
04/18/2023 09:01:36.527 7867 41.17
04/18/2023 09:01:36.700 7870 41.17
04/18/2023 09:01:36.908 7857 41.17
04/18/2023 09:01:37.117 7857 41.17
04/18/2023 09:01:37.325 7852 41.17
04/18/2023 09:01:37.533 7858 41.17
04/18/2023 09:01:37.741 7853 41.17
04/18/2023 09:01:37.949 7858 41.17
04/18/2023 09:01:38.148 7863 41.17
04/18/2023 09:01:38.350 7860 41.17
04/18/2023 09:01:38.558 7861 41.17
04/18/2023 09:01:38.765 7864 41.17
04/18/2023 09:01:38.983 7869 41.17
04/18/2023 09:01:39.198 7869 41.17
04/18/2023 09:01:39.407 7863 41.17
04/18/2023 09:01:39.615 7872 41.17
04/18/2023 09:01:39.823 7867 41.17
04/18/2023 09:01:40.031 7852 41.17
04/18/2023 09:01:40.239 7861 41.17
04/18/2023 09:01:40.448 7849 41.17
04/18/2023 09:01:40.656 7858 41.17
04/18/2023 09:01:40.831 7855 41.17
04/18/2023 09:01:41.040 7861 41.17
04/18/2023 09:01:41.248 7914 41.17
04/18/2023 09:01:41.457 7863 41.17
04/18/2023 09:01:41.665 7868 41.17
04/18/2023 09:01:41.873 7885 41.17
04/18/2023 09:01:42.077 7886 41.17
04/18/2023 09:01:42.277 7855 41.17
04/18/2023 09:01:42.483 7869 41.17
04/18/2023 09:01:42.706 7857 41.17
04/18/2023 09:01:42.915 7861 41.17
04/18/2023 09:01:43.110 7859 41.17
04/18/2023 09:01:43.327 7855 41.17
04/18/2023 09:01:43.539 7852 41.17
04/18/2023 09:01:43.746 7860 41.17
04/18/2023 09:01:43.955 7854 41.17
04/18/2023 09:01:44.164 7854 41.17
04/18/2023 09:01:44.370 7852 41.17
04/18/2023 09:01:44.579 7855 41.17
04/18/2023 09:01:44.787 7862 41.17
04/18/2023 09:01:44.962 7865 41.17
04/18/2023 09:01:45.170 7860 41.17
04/18/2023 09:01:45.379 7862 41.14
04/18/2023 09:01:45.588 7858 41.14
04/18/2023 09:01:45.796 7863 41.14
04/18/2023 09:01:46.003 7855 41.14
04/18/2023 09:01:46.205 7866 41.14
04/18/2023 09:01:46.404 7855 41.14
04/18/2023 09:01:46.612 7856 41.14
04/18/2023 09:01:46.820 7860 41.14
04/18/2023 09:01:47.028 7855 41.14
04/18/2023 09:01:47.242 7852 41.14
04/18/2023 09:01:47.461 7865 41.17
04/18/2023 09:01:47.670 7858 41.17
04/18/2023 09:01:47.878 7855 41.17
04/18/2023 09:01:48.086 7869 41.14
04/18/2023 09:01:48.294 7863 41.14
04/18/2023 09:01:48.502 7858 41.17
04/18/2023 09:01:48.710 7867 41.17
04/18/2023 09:01:48.919 7865 41.17
04/18/2023 09:01:49.095 7871 41.14
04/18/2023 09:01:49.303 7868 41.17
04/18/2023 09:01:49.511 7872 41.14
04/18/2023 09:01:49.719 7866 41.14
04/18/2023 09:01:49.927 7862 41.17
04/18/2023 09:01:50.133 7869 41.17
04/18/2023 09:01:50.332 7861 41.17
04/18/2023 09:01:50.535 7862 41.17
04/18/2023 09:01:50.744 7869 41.14
04/18/2023 09:01:50.953 7859 41.14
04/18/2023 09:01:51.161 7871 41.14
04/18/2023 09:01:51.369 7865 41.14
04/18/2023 09:01:51.588 7868 41.14
04/18/2023 09:01:51.801 7856 41.14
04/18/2023 09:01:52.025 7867 41.14
04/18/2023 09:01:52.218 7868 41.14
04/18/2023 09:01:52.426 7865 41.14
04/18/2023 09:01:52.633 7869 41.17
04/18/2023 09:01:52.842 7875 41.17
04/18/2023 09:01:53.050 7861 41.14
