data_ora,rad,temperatura,elevazione
2022-12-23 02:46:13.322,5245,40.29,20.0
2022-12-23 02:46:13.525,5245,40.26,20.0
2022-12-23 02:46:13.713,5227,40.26,20.0
2022-12-23 02:46:13.931,5244,40.26,20.0
2022-12-23 02:46:14.129,5259,40.26,20.0
2022-12-23 02:46:14.363,5231,40.26,20.0
2022-12-23 02:46:14.567,5232,40.29,20.0
2022-12-23 02:46:14.770,5246,40.26,20.0
2022-12-23 02:46:14.988,5254,40.26,20.0
2022-12-23 02:50:12.168,3984,40.35,25.0
2022-12-23 02:50:12.371,3987,40.35,25.0
2022-12-23 02:50:12.574,3990,40.35,25.0
2022-12-23 02:50:12.793,4008,40.32,25.0
2022-12-23 02:50:12.996,4008,40.32,25.0
2022-12-23 02:50:13.215,4007,40.32,25.0
2022-12-23 02:50:13.434,4014,40.32,25.0
2022-12-23 02:50:13.637,4008,40.32,25.0
2022-12-23 02:50:13.809,3996,40.32,25.0
2022-12-23 02:50:14.012,4018,40.32,25.0
2022-12-23 02:50:14.225,4001,40.32,25.0
2022-12-23 02:50:14.413,3989,40.32,25.0
2022-12-23 02:50:14.631,3985,40.32,25.0
2022-12-23 02:50:14.850,3985,40.32,25.0
2022-12-23 02:50:15.038,3983,40.32,25.0
2022-12-23 02:50:15.256,3957,40.32,25.0
2022-12-23 02:50:15.459,3969,40.32,25.0
2022-12-23 02:50:15.663,3939,40.32,25.0
2022-12-23 02:50:15.866,3936,40.32,25.0
2022-12-23 02:50:16.084,3931,40.32,25.0
2022-12-23 02:50:16.288,3922,40.32,25.0
2022-12-23 02:50:16.491,3923,40.32,25.0
2022-12-23 02:50:16.709,3928,40.32,25.0
2022-12-23 02:50:16.928,3934,40.32,25.0
2022-12-23 02:50:17.131,3927,40.32,25.0
2022-12-23 02:50:17.350,3938,40.32,25.0
2022-12-23 02:50:17.553,3927,40.32,25.0
2022-12-23 02:50:17.756,3923,40.32,25.0
2022-12-23 02:50:17.928,3926,40.32,25.0
2022-12-23 02:50:18.147,3932,40.32,25.0
2022-12-23 02:50:18.350,3932,40.32,25.0
2022-12-23 02:50:18.553,3915,40.32,25.0
2022-12-23 02:50:18.772,3936,40.32,25.0
2022-12-23 02:50:18.975,3923,40.32,25.0
2022-12-23 02:50:19.178,3917,40.32,25.0
2022-12-23 02:50:19.365,3918,40.32,25.0
2022-12-23 02:50:19.584,3920,40.32,25.0
2022-12-23 02:50:19.803,3906,40.32,25.0
2022-12-23 02:50:19.990,3906,40.32,25.0
2022-12-23 02:50:20.209,3916,40.32,25.0
2022-12-23 02:50:20.412,3926,40.29,25.0
2022-12-23 02:50:20.631,3914,40.29,25.0
2022-12-23 02:50:20.850,3920,40.29,25.0
2022-12-23 02:50:21.053,3910,40.29,25.0
2022-12-23 02:50:21.256,3911,40.29,25.0
2022-12-23 02:50:21.459,3928,40.29,25.0
2022-12-23 02:50:21.678,3933,40.29,25.0
2022-12-23 02:50:21.881,3908,40.29,25.0
2022-12-23 02:50:22.100,3924,40.29,25.0
2022-12-23 02:50:22.256,3913,40.29,25.0
2022-12-23 02:50:22.475,3902,40.29,25.0
2022-12-23 02:50:22.678,3910,40.29,25.0
2022-12-23 02:50:22.897,3917,40.29,25.0
2022-12-23 02:50:23.100,3914,40.29,25.0
2022-12-23 02:50:23.303,3911,40.29,25.0
2022-12-23 02:50:23.506,3913,40.29,25.0
2022-12-23 02:50:23.725,3893,40.29,25.0
2022-12-23 02:50:23.959,3911,40.29,25.0
2022-12-23 02:50:24.131,3912,40.29,25.0
