               data_ora  rad  temperatura elevazione
2023-04-07 23:21:41.453 4816        40.32         20
2023-04-07 23:21:41.660 4814        40.35         20
2023-04-07 23:21:41.868 4795        40.35         20
2023-04-07 23:21:42.077 4797        40.35         20
2023-04-07 23:21:42.277 4815        40.35         20
2023-04-07 23:21:42.477 4798        40.35         20
2023-04-07 23:21:42.686 4794        40.35         20
2023-04-07 23:21:42.894 4798        40.35         20
2023-04-07 23:21:43.118 4797        40.35         20
2023-04-07 23:21:43.326 4804        40.35         20
2023-04-07 23:21:43.518 4796        40.35         20
2023-04-07 23:21:43.737 4820        40.35         20
2023-04-07 23:21:43.951 4795        40.35         20
2023-04-07 23:21:44.159 4803        40.35         20
2023-04-07 23:21:44.368 4801        40.35         20
2023-04-07 23:21:44.576 4802        40.35         20
2023-04-07 23:21:44.784 4792        40.35         20
2023-04-07 23:21:44.992 4789        40.35         20
2023-04-07 23:21:45.169 4808        40.35         20
2023-04-07 23:21:45.376 4786        40.35         20
2023-04-07 23:21:45.585 4799        40.35         20
2023-04-07 23:21:45.793 4796        40.35         20
2023-04-07 23:21:45.997 4797        40.35         20
2023-04-07 23:21:46.197 4805        40.35         20
2023-04-07 23:21:46.400 4814        40.35         20
2023-04-07 23:21:46.610 4802        40.35         20
2023-04-07 23:21:46.818 4802        40.35         20
2023-04-07 23:21:47.027 4809        40.35         20
2023-04-07 23:21:47.234 4809        40.35         20
2023-04-07 23:21:47.443 4778        40.35         20
2023-04-07 23:21:47.650 4793        40.35         20
2023-04-07 23:21:47.871 4790        40.35         20
2023-04-07 23:21:48.083 4819        40.35         20
2023-04-07 23:21:48.290 4785        40.35         20
2023-04-07 23:21:48.500 4792        40.35         20
2023-04-07 23:21:48.708 4790        40.35         20
2023-04-07 23:21:48.916 4794        40.35         20
2023-04-07 23:21:49.091 4804        40.35         20
2023-04-07 23:21:49.301 4805        40.35         20
2023-04-07 23:21:49.508 4808        40.35         20
2023-04-07 23:21:49.717 4824        40.35         20
2023-04-07 23:21:49.917 4827        40.35         20
2023-04-07 23:21:50.117 4830        40.35         20
2023-04-07 23:21:50.325 4823        40.35         20
2023-04-07 23:21:50.534 4853        40.35         20
2023-04-07 23:21:50.742 4842        40.35         20
2023-04-07 23:21:50.950 4837        40.35         20
2023-04-07 23:21:51.158 4848        40.35         20
2023-04-07 23:21:51.364 4849        40.35         20
2023-04-07 23:21:51.575 4838        40.35         20
2023-04-07 23:21:51.793 4841        40.35         20
2023-04-07 23:21:52.023 4845        40.35         20
2023-04-07 23:21:52.230 4870        40.35         20
2023-04-07 23:21:52.423 4841        40.38         20
2023-04-07 23:21:52.631 4785        40.38         20
2023-04-07 23:21:52.840 4794        40.38         20
2023-04-07 23:21:53.016 4807        40.38         20
2023-04-07 23:21:53.224 4801        40.38         20
2023-04-07 23:21:53.432 4798        40.38         20
2023-04-07 23:21:53.639 4812        40.38         20
2023-04-07 23:21:53.838 4815        40.38         20
2023-04-07 23:21:54.040 4813        40.38         20
2023-04-07 23:21:54.249 4814        40.38         20
2023-04-07 23:21:54.455 4800        40.38         20
2023-04-07 23:21:54.665 4801        40.35         20
2023-04-07 23:21:54.873 4797        40.38         20
2023-04-07 23:21:55.081 4803        40.38         20
2023-04-07 23:21:55.289 4808        40.38         20
2023-04-07 23:21:55.497 4816        40.38         20
2023-04-07 23:21:55.712 4824        40.38         20
2023-04-07 23:21:55.929 4812        40.38         20
2023-04-07 23:21:56.138 4820        40.38         20
2023-04-07 23:21:56.347 4812        40.35         20
2023-04-07 23:21:56.554 4815        40.35         20
2023-04-07 23:21:56.762 4814        40.35         20
2023-04-07 23:21:56.938 4816        40.38         20
2023-04-07 23:21:57.147 4804        40.38         20
2023-04-07 23:21:57.356 4815        40.35         20
2023-04-07 23:21:57.558 4812        40.38         20
2023-04-07 23:21:57.755 4800        40.38         20
2023-04-07 23:21:57.963 4812        40.38         20
2023-04-07 23:21:58.172 4803        40.38         20
2023-04-07 23:21:58.380 4806        40.35         20
2023-04-07 23:21:58.587 4792        40.38         20
2023-04-07 23:21:58.797 4814        40.38         20
2023-04-07 23:21:59.005 4802        40.38         20
2023-04-07 23:21:59.213 4818        40.38         20
2023-04-07 23:21:59.422 4805        40.38         20
2023-04-07 23:21:59.629 4826        40.38         20
2023-04-07 23:21:59.847 4822        40.38         20
2023-04-07 23:22:00.057 4810        40.38         20
2023-04-07 23:22:00.270 4822        40.38         20
2023-04-07 23:22:00.479 4818        40.38         20
2023-04-07 23:22:00.687 4812        40.38         20
2023-04-07 23:22:00.862 4824        40.38         20
2023-04-07 23:22:01.071 4819        40.38         20
2023-04-07 23:22:01.277 4824        40.38         20
2023-04-07 23:22:01.477 4809        40.38         20
2023-04-07 23:22:01.689 4813        40.38         20
2023-04-07 23:22:01.888 4814        40.38         20
2023-04-07 23:22:02.095 4806        40.38         20
2023-04-07 23:22:02.304 4819        40.38         20
2023-04-07 23:22:02.512 4816        40.38         20
2023-04-07 23:22:02.720 4811        40.38         20
2023-04-07 23:22:02.929 4813        40.38         20
2023-04-07 23:22:03.153 4819        40.38         20
2023-04-07 23:22:03.345 4805        40.38         20
2023-04-07 23:22:03.554 4811        40.38         20
2023-04-07 23:22:03.769 4818        40.38         20
2023-04-07 23:22:03.986 4826        40.38         20
2023-04-07 23:22:04.195 4830        40.38         20
2023-04-07 23:22:04.402 4814        40.38         20
2023-04-07 23:22:04.610 4810        40.38         20
2023-04-07 23:22:04.786 4812        40.38         20
2023-04-07 23:22:04.995 4805        40.38         20
2023-04-07 23:22:05.200 4818        40.38         20
2023-04-07 23:22:05.399 4806        40.38         20
2023-04-07 23:22:05.602 4807        40.38         20
2023-04-07 23:22:05.810 4820        40.38         20
2023-04-07 23:22:06.019 4816        40.38         20
2023-04-07 23:22:06.228 4808        40.35         20
2023-04-07 23:22:06.435 4825        40.35         20
2023-04-07 23:22:06.644 4822        40.35         20
2023-04-07 23:22:06.853 4820        40.38         20
2023-04-07 23:22:07.072 4828        40.38         20
2023-04-07 23:22:07.269 4821        40.38         20
2023-04-07 23:22:07.477 4810        40.38         20
2023-04-07 23:22:07.683 4803        40.38         20
2023-04-07 23:22:07.906 4803        40.38         20
2023-04-07 23:22:08.117 4825        40.38         20
2023-04-07 23:22:08.325 4822        40.38         20
2023-04-07 23:22:08.534 4811        40.38         20
2023-04-07 23:22:08.710 4821        40.38         20
2023-04-07 23:22:08.918 4827        40.38         20
2023-04-07 23:22:09.122 4831        40.38         20
2023-04-07 23:22:09.318 4807        40.38         20
2023-04-07 23:22:09.525 4838        40.38         20
