RAL10
Sampling=1
Gain=5
Zero_base=6877
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 08:41:50.169 15391 40.84
04/18/2023 08:41:50.376 15359 40.84
04/18/2023 08:41:50.586 15360 40.84
04/18/2023 08:41:50.794 15375 40.84
04/18/2023 08:41:51.002 15363 40.84
04/18/2023 08:41:51.210 15366 40.84
04/18/2023 08:41:51.426 15372 40.84
04/18/2023 08:41:51.642 15385 40.84
04/18/2023 08:41:51.850 15385 40.84
04/18/2023 08:41:52.058 15374 40.84
04/18/2023 08:41:52.234 15378 40.84
04/18/2023 08:41:52.438 15373 40.84
04/18/2023 08:41:52.635 15383 40.84
04/18/2023 08:41:52.842 15372 40.84
04/18/2023 08:41:53.052 15372 40.84
04/18/2023 08:41:53.259 15349 40.84
04/18/2023 08:41:53.468 15367 40.84
04/18/2023 08:41:53.676 15384 40.84
04/18/2023 08:41:53.884 15381 40.84
04/18/2023 08:41:54.092 15382 40.84
04/18/2023 08:41:54.301 15385 40.84
04/18/2023 08:41:54.509 15386 40.84
04/18/2023 08:41:54.717 15382 40.84
04/18/2023 08:41:54.926 15370 40.84
04/18/2023 08:41:55.132 15365 40.84
04/18/2023 08:41:55.341 15373 40.84
04/18/2023 08:41:55.550 15369 40.84
04/18/2023 08:41:55.768 15383 40.84
04/18/2023 08:41:55.982 15385 40.84
04/18/2023 08:41:56.189 15374 40.84
04/18/2023 08:41:56.364 15375 40.84
04/18/2023 08:41:56.563 15396 40.84
04/18/2023 08:41:56.760 15386 40.84
04/18/2023 08:41:56.974 15369 40.84
04/18/2023 08:41:57.178 15374 40.84
04/18/2023 08:41:57.390 15377 40.84
04/18/2023 08:41:57.598 15397 40.84
04/18/2023 08:41:57.806 15389 40.84
04/18/2023 08:41:58.014 15372 40.84
04/18/2023 08:41:58.223 15369 40.84
04/18/2023 08:41:58.432 15383 40.84
04/18/2023 08:41:58.639 15392 40.84
04/18/2023 08:41:58.863 15404 40.84
04/18/2023 08:41:59.070 15401 40.84
04/18/2023 08:41:59.279 15368 40.84
04/18/2023 08:41:59.468 15379 40.84
04/18/2023 08:41:59.676 15375 40.84
04/18/2023 08:41:59.894 15400 40.84
04/18/2023 08:42:00.111 15387 40.84
04/18/2023 08:42:00.321 15378 40.84
04/18/2023 08:42:00.495 15369 40.84
04/18/2023 08:42:00.695 15370 40.84
04/18/2023 08:42:00.895 15374 40.84
04/18/2023 08:42:01.104 15399 40.84
04/18/2023 08:42:01.313 15399 40.84
04/18/2023 08:42:01.520 15390 40.84
04/18/2023 08:42:01.728 15397 40.84
04/18/2023 08:42:01.937 15367 40.84
04/18/2023 08:42:02.145 15374 40.84
04/18/2023 08:42:02.352 15377 40.84
04/18/2023 08:42:02.560 15355 40.84
04/18/2023 08:42:02.769 15360 40.84
04/18/2023 08:42:02.977 15398 40.84
04/18/2023 08:42:03.186 15394 40.84
04/18/2023 08:42:03.392 15384 40.84
04/18/2023 08:42:03.602 15363 40.84
04/18/2023 08:42:03.810 15387 40.84
04/18/2023 08:42:04.023 15385 40.84
04/18/2023 08:42:04.241 15382 40.84
04/18/2023 08:42:04.450 15378 40.84
04/18/2023 08:42:04.621 15383 40.84
04/18/2023 08:42:04.823 15366 40.84
04/18/2023 08:42:05.026 15367 40.84
04/18/2023 08:42:05.234 15377 40.84
04/18/2023 08:42:05.441 15396 40.84
04/18/2023 08:42:05.650 15354 40.84
04/18/2023 08:42:05.858 15366 40.84
04/18/2023 08:42:06.065 15365 40.84
04/18/2023 08:42:06.273 15386 40.84
04/18/2023 08:42:06.483 15380 40.84
04/18/2023 08:42:06.692 15360 40.84
04/18/2023 08:42:06.900 15374 40.84
04/18/2023 08:42:07.106 15389 40.84
04/18/2023 08:42:07.315 15361 40.84
04/18/2023 08:42:07.519 15372 40.84
04/18/2023 08:42:07.732 15353 40.84
04/18/2023 08:42:07.939 15364 40.84
04/18/2023 08:42:08.149 15369 40.84
04/18/2023 08:42:08.366 15372 40.84
04/18/2023 08:42:08.582 15374 40.84
04/18/2023 08:42:08.790 15379 40.84
04/18/2023 08:42:08.948 15373 40.84
04/18/2023 08:42:09.158 15353 40.84
04/18/2023 08:42:09.366 15361 40.84
04/18/2023 08:42:09.574 15349 40.84
04/18/2023 08:42:09.783 15375 40.84
04/18/2023 08:42:10.004 15371 40.84
04/18/2023 08:42:10.214 15365 40.84
04/18/2023 08:42:10.421 15372 40.84
04/18/2023 08:42:10.615 15355 40.84
04/18/2023 08:42:10.818 15365 40.84
04/18/2023 08:42:11.030 15352 40.84
04/18/2023 08:42:11.239 15375 40.84
04/18/2023 08:42:11.447 15356 40.84
04/18/2023 08:42:11.655 15358 40.84
04/18/2023 08:42:11.864 15363 40.84
04/18/2023 08:42:12.071 15360 40.84
04/18/2023 08:42:12.279 15355 40.84
04/18/2023 08:42:12.491 15356 40.84
04/18/2023 08:42:12.703 15357 40.84
04/18/2023 08:42:12.920 15365 40.84
04/18/2023 08:42:13.080 15358 40.84
04/18/2023 08:42:13.288 15347 40.84
04/18/2023 08:42:13.495 15357 40.84
04/18/2023 08:42:13.704 15345 40.84
04/18/2023 08:42:13.912 15356 40.84
04/18/2023 08:42:14.120 15377 40.84
04/18/2023 08:42:14.326 15336 40.84
04/18/2023 08:42:14.537 15355 40.84
04/18/2023 08:42:14.744 15363 40.84
04/18/2023 08:42:14.945 15358 40.84
04/18/2023 08:42:15.160 15366 40.84
04/18/2023 08:42:15.370 15366 40.84
04/18/2023 08:42:15.578 15363 40.84
04/18/2023 08:42:15.786 15340 40.84
04/18/2023 08:42:15.994 15356 40.84
04/18/2023 08:42:16.201 15358 40.84
04/18/2023 08:42:16.411 15353 40.84
04/18/2023 08:42:16.635 15367 40.84
04/18/2023 08:42:16.843 15371 40.84
04/18/2023 08:42:17.047 15366 40.84
04/18/2023 08:42:17.210 15365 40.84
04/18/2023 08:42:17.420 15335 40.84
04/18/2023 08:42:17.628 15357 40.84
04/18/2023 08:42:17.835 15365 40.84
04/18/2023 08:42:18.043 15364 40.84
04/18/2023 08:42:18.251 15366 40.84
04/18/2023 08:42:18.459 15356 40.84
04/18/2023 08:42:18.668 15379 40.84
04/18/2023 08:42:18.871 15355 40.84
04/18/2023 08:42:19.069 15363 40.84
04/18/2023 08:42:19.281 15360 40.84
04/18/2023 08:42:19.497 15365 40.84
04/18/2023 08:42:19.708 15357 40.84
04/18/2023 08:42:19.917 15371 40.84
04/18/2023 08:42:20.125 15353 40.84
04/18/2023 08:42:20.332 15374 40.84
04/18/2023 08:42:20.541 15368 40.84
04/18/2023 08:42:20.749 15369 40.84
04/18/2023 08:42:20.957 15371 40.84
04/18/2023 08:42:21.165 15371 40.84
04/18/2023 08:42:21.381 15376 40.84
04/18/2023 08:42:21.551 15363 40.84
04/18/2023 08:42:21.759 15363 40.84
04/18/2023 08:42:21.966 15363 40.84
04/18/2023 08:42:22.175 15361 40.84
04/18/2023 08:42:22.383 15372 40.84
04/18/2023 08:42:22.592 15365 40.84
04/18/2023 08:42:22.795 15363 40.84
04/18/2023 08:42:22.992 15363 40.84
04/18/2023 08:42:23.200 15380 40.84
04/18/2023 08:42:23.408 15360 40.80
04/18/2023 08:42:23.616 15382 40.80
04/18/2023 08:42:23.832 15366 40.80
04/18/2023 08:42:24.049 15392 40.80
04/18/2023 08:42:24.257 15355 40.80
04/18/2023 08:42:24.465 15379 40.80
04/18/2023 08:42:24.673 15373 40.80
04/18/2023 08:42:24.881 15374 40.80
04/18/2023 08:42:25.089 15375 40.80
04/18/2023 08:42:25.298 15383 40.80
04/18/2023 08:42:25.506 15369 40.80
04/18/2023 08:42:25.682 15372 40.80
04/18/2023 08:42:25.891 15377 40.80
04/18/2023 08:42:26.099 15377 40.80
04/18/2023 08:42:26.307 15377 40.80
04/18/2023 08:42:26.515 15374 40.80
04/18/2023 08:42:26.722 15372 40.80
04/18/2023 08:42:26.920 15357 40.80
04/18/2023 08:42:27.123 15372 40.80
04/18/2023 08:42:27.332 15369 40.80
04/18/2023 08:42:27.540 15362 40.80
04/18/2023 08:42:27.748 15383 40.80
04/18/2023 08:42:27.957 15356 40.80
04/18/2023 08:42:28.173 15363 40.80
04/18/2023 08:42:28.388 15377 40.80
04/18/2023 08:42:28.597 15380 40.80
04/18/2023 08:42:28.805 15386 40.80
04/18/2023 08:42:29.013 15378 40.80
04/18/2023 08:42:29.221 15362 40.80
04/18/2023 08:42:29.429 15377 40.80
04/18/2023 08:42:29.638 15381 40.80
04/18/2023 08:42:29.814 15386 40.80
04/18/2023 08:42:30.023 15373 40.80
04/18/2023 08:42:30.230 15362 40.80
04/18/2023 08:42:30.438 15377 40.80
04/18/2023 08:42:30.645 15372 40.80
04/18/2023 08:42:30.845 15376 40.80
04/18/2023 08:42:31.047 15365 40.80
04/18/2023 08:42:31.255 15372 40.80
04/18/2023 08:42:31.464 15368 40.80
04/18/2023 08:42:31.672 15380 40.80
