RAL10
Sampling=1
Gain=5
Zero_base=10923
Time_cost=0
Integrator=0
Polarization=A
Date=18/4/2023

UTC RAD T(C)
04/18/2023 08:48:20.672 1326 40.90
04/18/2023 08:48:20.880 1293 40.90
04/18/2023 08:48:21.088 1329 40.90
04/18/2023 08:48:21.265 1317 40.90
04/18/2023 08:48:21.473 1320 40.90
04/18/2023 08:48:21.680 1313 40.90
04/18/2023 08:48:21.884 1309 40.90
04/18/2023 08:48:22.080 1305 40.90
04/18/2023 08:48:22.289 1296 40.90
04/18/2023 08:48:22.496 1321 40.90
04/18/2023 08:48:22.704 1325 40.90
04/18/2023 08:48:22.912 1302 40.90
04/18/2023 08:48:23.121 1327 40.90
04/18/2023 08:48:23.329 1307 40.90
04/18/2023 08:48:23.542 1309 40.90
04/18/2023 08:48:23.761 1335 40.90
04/18/2023 08:48:23.970 1313 40.90
04/18/2023 08:48:24.178 1323 40.90
04/18/2023 08:48:24.386 1319 40.90
04/18/2023 08:48:24.594 1305 40.90
04/18/2023 08:48:24.770 1324 40.90
04/18/2023 08:48:24.979 1311 40.90
04/18/2023 08:48:25.186 1333 40.90
04/18/2023 08:48:25.394 1320 40.90
04/18/2023 08:48:25.603 1307 40.90
04/18/2023 08:48:25.808 1335 40.90
04/18/2023 08:48:26.007 1328 40.90
04/18/2023 08:48:26.211 1320 40.90
04/18/2023 08:48:26.419 1327 40.90
04/18/2023 08:48:26.627 1305 40.90
04/18/2023 08:48:26.842 1330 40.90
04/18/2023 08:48:27.060 1320 40.90
04/18/2023 08:48:27.269 1305 40.90
04/18/2023 08:48:27.476 1333 40.90
04/18/2023 08:48:27.685 1322 40.90
04/18/2023 08:48:27.893 1346 40.90
04/18/2023 08:48:28.101 1321 40.90
04/18/2023 08:48:28.318 1325 40.90
04/18/2023 08:48:28.485 1323 40.90
04/18/2023 08:48:28.693 1331 40.90
04/18/2023 08:48:28.902 1319 40.90
04/18/2023 08:48:29.110 1339 40.90
04/18/2023 08:48:29.318 1319 40.90
04/18/2023 08:48:29.526 1321 40.90
04/18/2023 08:48:29.736 1330 40.90
04/18/2023 08:48:29.944 1330 40.90
04/18/2023 08:48:30.151 1330 40.90
04/18/2023 08:48:30.375 1328 40.90
04/18/2023 08:48:30.567 1329 40.90
04/18/2023 08:48:30.775 1324 40.90
04/18/2023 08:48:30.983 1319 40.90
04/18/2023 08:48:31.192 1332 40.90
04/18/2023 08:48:31.400 1339 40.90
04/18/2023 08:48:31.617 1344 40.90
04/18/2023 08:48:31.833 1328 40.90
04/18/2023 08:48:32.001 1340 40.90
04/18/2023 08:48:32.201 1331 40.90
04/18/2023 08:48:32.409 1329 40.90
04/18/2023 08:48:32.617 1344 40.90
04/18/2023 08:48:32.825 1336 40.90
04/18/2023 08:48:33.033 1335 40.90
04/18/2023 08:48:33.241 1329 40.90
04/18/2023 08:48:33.451 1331 40.90
04/18/2023 08:48:33.659 1325 40.90
04/18/2023 08:48:33.867 1331 40.90
04/18/2023 08:48:34.075 1336 40.90
04/18/2023 08:48:34.283 1348 40.90
04/18/2023 08:48:34.491 1336 40.90
04/18/2023 08:48:34.700 1323 40.90
04/18/2023 08:48:34.914 1324 40.90
04/18/2023 08:48:35.131 1325 40.90
04/18/2023 08:48:35.339 1323 40.90
04/18/2023 08:48:35.549 1319 40.90
04/18/2023 08:48:35.724 1315 40.90
04/18/2023 08:48:35.929 1319 40.87
04/18/2023 08:48:36.128 1304 40.87
04/18/2023 08:48:36.332 1332 40.87
04/18/2023 08:48:36.541 1324 40.87
04/18/2023 08:48:36.748 1299 40.87
04/18/2023 08:48:36.957 1309 40.87
04/18/2023 08:48:37.165 1324 40.87
04/18/2023 08:48:37.373 1321 40.90
04/18/2023 08:48:37.581 1315 40.90
04/18/2023 08:48:37.788 1316 40.90
04/18/2023 08:48:37.997 1324 40.90
04/18/2023 08:48:38.211 1317 40.90
04/18/2023 08:48:38.429 1326 40.90
04/18/2023 08:48:38.639 1324 40.90
04/18/2023 08:48:38.846 1316 40.90
04/18/2023 08:48:39.054 1315 40.90
04/18/2023 08:48:39.230 1305 40.90
04/18/2023 08:48:39.455 1323 40.90
04/18/2023 08:48:39.667 1319 40.90
04/18/2023 08:48:39.872 1336 40.90
04/18/2023 08:48:40.062 1318 40.90
04/18/2023 08:48:40.255 1327 40.90
04/18/2023 08:48:40.463 1320 40.90
04/18/2023 08:48:40.672 1314 40.90
04/18/2023 08:48:40.880 1324 40.90
04/18/2023 08:48:41.088 1319 40.90
04/18/2023 08:48:41.295 1338 40.90
04/18/2023 08:48:41.516 1329 40.90
04/18/2023 08:48:41.729 1317 40.90
04/18/2023 08:48:41.936 1312 40.90
04/18/2023 08:48:42.145 1324 40.90
04/18/2023 08:48:42.353 1313 40.90
04/18/2023 08:48:42.561 1324 40.90
04/18/2023 08:48:42.737 1334 40.90
04/18/2023 08:48:42.946 1326 40.90
04/18/2023 08:48:43.154 1332 40.90
04/18/2023 08:48:43.362 1308 40.90
04/18/2023 08:48:43.571 1320 40.90
04/18/2023 08:48:43.778 1329 40.90
04/18/2023 08:48:43.982 1327 40.90
04/18/2023 08:48:44.180 1323 40.90
04/18/2023 08:48:44.387 1320 40.90
04/18/2023 08:48:44.599 1334 40.90
04/18/2023 08:48:44.820 1331 40.90
04/18/2023 08:48:45.029 1326 40.90
04/18/2023 08:48:45.236 1355 40.90
04/18/2023 08:48:45.443 1326 40.90
04/18/2023 08:48:45.652 1328 40.90
04/18/2023 08:48:45.861 1325 40.90
04/18/2023 08:48:46.073 1340 40.90
04/18/2023 08:48:46.294 1334 40.90
04/18/2023 08:48:46.454 1333 40.90
04/18/2023 08:48:46.661 1331 40.90
04/18/2023 08:48:46.869 1332 40.90
04/18/2023 08:48:47.078 1334 40.90
04/18/2023 08:48:47.286 1351 40.90
04/18/2023 08:48:47.495 1345 40.90
04/18/2023 08:48:47.702 1366 40.90
04/18/2023 08:48:47.910 1342 40.90
04/18/2023 08:48:48.119 1332 40.90
04/18/2023 08:48:48.327 1326 40.90
04/18/2023 08:48:48.535 1348 40.90
04/18/2023 08:48:48.744 1345 40.90
04/18/2023 08:48:48.952 1343 40.90
04/18/2023 08:48:49.160 1341 40.90
04/18/2023 08:48:49.375 1347 40.90
04/18/2023 08:48:49.592 1328 40.90
04/18/2023 08:48:49.802 1344 40.90
04/18/2023 08:48:49.974 1341 40.90
04/18/2023 08:48:50.173 1357 40.90
04/18/2023 08:48:50.377 1353 40.90
04/18/2023 08:48:50.586 1349 40.90
04/18/2023 08:48:50.793 1359 40.90
04/18/2023 08:48:51.001 1345 40.90
04/18/2023 08:48:51.214 1354 40.90
04/18/2023 08:48:51.417 1333 40.90
04/18/2023 08:48:51.625 1343 40.90
04/18/2023 08:48:51.833 1338 40.90
04/18/2023 08:48:52.042 1327 40.90
04/18/2023 08:48:52.250 1362 40.87
04/18/2023 08:48:52.459 1343 40.90
04/18/2023 08:48:52.678 1344 40.87
04/18/2023 08:48:52.890 1353 40.87
04/18/2023 08:48:53.098 1349 40.90
04/18/2023 08:48:53.306 1329 40.87
04/18/2023 08:48:53.483 1350 40.90
04/18/2023 08:48:53.691 1344 40.90
04/18/2023 08:48:53.899 1348 40.90
04/18/2023 08:48:54.099 1335 40.90
04/18/2023 08:48:54.300 1343 40.90
04/18/2023 08:48:54.508 1363 40.90
04/18/2023 08:48:54.715 1357 40.90
04/18/2023 08:48:54.923 1351 40.90
04/18/2023 08:48:55.132 1342 40.90
04/18/2023 08:48:55.341 1349 40.90
04/18/2023 08:48:55.548 1345 40.90
04/18/2023 08:48:55.756 1347 40.90
04/18/2023 08:48:55.982 1346 40.90
04/18/2023 08:48:56.190 1335 40.90
04/18/2023 08:48:56.397 1364 40.90
