               data_ora  rad  temperatura elevazione
2023-04-08 23:21:11.306 3316        40.41         20
2023-04-08 23:21:11.515 3310        40.41         20
2023-04-08 23:21:11.724 3325        40.41         20
2023-04-08 23:21:11.931 3316        40.41         20
2023-04-08 23:21:12.144 3317        40.41         20
2023-04-08 23:21:12.362 3303        40.41         20
2023-04-08 23:21:12.587 3308        40.41         20
2023-04-08 23:21:12.747 3309        40.41         20
2023-04-08 23:21:12.940 3313        40.41         20
2023-04-08 23:21:13.148 3315        40.41         20
2023-04-08 23:21:13.357 3302        40.41         20
2023-04-08 23:21:13.566 3324        40.41         20
2023-04-08 23:21:13.774 3317        40.41         20
2023-04-08 23:21:13.982 3312        40.41         20
2023-04-08 23:21:14.190 3321        40.41         20
2023-04-08 23:21:14.394 3302        40.41         20
2023-04-08 23:21:14.603 3317        40.41         20
2023-04-08 23:21:14.815 3321        40.41         20
2023-04-08 23:21:15.022 3311        40.41         20
2023-04-08 23:21:15.230 3304        40.41         20
2023-04-08 23:21:15.439 3316        40.41         20
2023-04-08 23:21:15.647 3314        40.41         20
2023-04-08 23:21:15.856 3319        40.41         20
2023-04-08 23:21:16.064 3311        40.41         20
2023-04-08 23:21:16.280 3310        40.41         20
2023-04-08 23:21:16.496 3300        40.41         20
2023-04-08 23:21:16.655 3308        40.41         20
2023-04-08 23:21:16.864 3312        40.41         20
2023-04-08 23:21:17.073 3326        40.41         20
2023-04-08 23:21:17.280 3307        40.41         20
2023-04-08 23:21:17.489 3306        40.41         20
2023-04-08 23:21:17.697 3328        40.41         20
2023-04-08 23:21:17.906 3296        40.41         20
2023-04-08 23:21:18.114 3317        40.41         20
2023-04-08 23:21:18.317 3317        40.41         20
2023-04-08 23:21:18.526 3295        40.41         20
2023-04-08 23:21:18.737 3315        40.41         20
2023-04-08 23:21:18.946 3324        40.44         20
2023-04-08 23:21:19.155 3308        40.41         20
2023-04-08 23:21:19.363 3303        40.41         20
2023-04-08 23:21:19.571 3311        40.44         20
2023-04-08 23:21:19.779 3320        40.44         20
2023-04-08 23:21:19.988 3329        40.44         20
2023-04-08 23:21:20.195 3344        40.44         20
2023-04-08 23:21:20.416 3316        40.41         20
2023-04-08 23:21:20.577 3324        40.41         20
2023-04-08 23:21:20.788 3314        40.41         20
2023-04-08 23:21:20.996 3321        40.41         20
2023-04-08 23:21:21.204 3320        40.41         20
2023-04-08 23:21:21.412 3315        40.44         20
2023-04-08 23:21:21.621 3336        40.41         20
2023-04-08 23:21:21.829 3342        40.41         20
2023-04-08 23:21:22.038 3336        40.41         20
2023-04-08 23:21:22.238 3332        40.41         20
2023-04-08 23:21:22.444 3345        40.41         20
2023-04-08 23:21:22.662 3324        40.44         20
2023-04-08 23:21:22.870 3349        40.41         20
2023-04-08 23:21:23.078 3357        40.41         20
2023-04-08 23:21:23.286 3349        40.41         20
2023-04-08 23:21:23.494 3344        40.41         20
2023-04-08 23:21:23.703 3357        40.41         20
2023-04-08 23:21:23.911 3358        40.41         20
2023-04-08 23:21:24.119 3335        40.41         20
2023-04-08 23:21:24.339 3343        40.41         20
2023-04-08 23:21:24.503 3358        40.41         20
2023-04-08 23:21:24.711 3364        40.41         20
2023-04-08 23:21:24.919 3366        40.41         20
2023-04-08 23:21:25.127 3362        40.41         20
2023-04-08 23:21:25.335 3358        40.41         20
2023-04-08 23:21:25.543 3365        40.41         20
2023-04-08 23:21:25.751 3369        40.41         20
2023-04-08 23:21:25.960 3373        40.41         20
2023-04-08 23:21:26.160 3374        40.41         20
2023-04-08 23:21:26.360 3384        40.41         20
2023-04-08 23:21:26.578 3385        40.41         20
2023-04-08 23:21:26.793 3395        40.41         20
2023-04-08 23:21:27.000 3390        40.41         20
2023-04-08 23:21:27.208 3392        40.41         20
2023-04-08 23:21:27.416 3376        40.41         20
2023-04-08 23:21:27.625 3401        40.41         20
2023-04-08 23:21:27.834 3405        40.41         20
2023-04-08 23:21:28.042 3403        40.41         20
2023-04-08 23:21:28.257 3403        40.41         20
2023-04-08 23:21:28.427 3399        40.41         20
2023-04-08 23:21:28.635 3391        40.41         20
2023-04-08 23:21:28.842 3403        40.41         20
2023-04-08 23:21:29.051 3403        40.41         20
2023-04-08 23:21:29.258 3400        40.41         20
2023-04-08 23:21:29.466 3400        40.41         20
2023-04-08 23:21:29.676 3397        40.41         20
2023-04-08 23:21:29.882 3395        40.41         20
2023-04-08 23:21:30.083 3398        40.41         20
2023-04-08 23:21:30.285 3414        40.41         20
2023-04-08 23:21:30.499 3395        40.41         20
2023-04-08 23:21:30.717 3402        40.41         20
2023-04-08 23:21:30.941 3399        40.41         20
2023-04-08 23:21:31.148 3402        40.41         20
2023-04-08 23:21:31.357 3398        40.41         20
2023-04-08 23:21:31.565 3396        40.41         20
2023-04-08 23:21:31.756 3407        40.41         20
2023-04-08 23:21:31.966 3387        40.41         20
2023-04-08 23:21:32.173 3388        40.41         20
2023-04-08 23:21:32.351 3392        40.41         20
2023-04-08 23:21:32.559 3396        40.41         20
2023-04-08 23:21:32.767 3398        40.41         20
2023-04-08 23:21:32.975 3398        40.41         20
2023-04-08 23:21:33.183 3417        40.41         20
2023-04-08 23:21:33.391 3409        40.41         20
2023-04-08 23:21:33.599 3412        40.41         20
2023-04-08 23:21:33.805 3417        40.44         20
2023-04-08 23:21:34.004 3419        40.44         20
2023-04-08 23:21:34.208 3425        40.44         20
2023-04-08 23:21:34.416 3411        40.44         20
2023-04-08 23:21:34.637 3424        40.44         20
2023-04-08 23:21:34.849 3423        40.44         20
2023-04-08 23:21:35.057 3425        40.44         20
2023-04-08 23:21:35.265 3429        40.44         20
2023-04-08 23:21:35.473 3417        40.44         20
2023-04-08 23:21:35.681 3428        40.44         20
2023-04-08 23:21:35.890 3413        40.44         20
2023-04-08 23:21:36.098 3424        40.41         20
2023-04-08 23:21:36.310 3425        40.41         20
2023-04-08 23:21:36.482 3419        40.41         20
2023-04-08 23:21:36.690 3424        40.41         20
2023-04-08 23:21:36.898 3428        40.41         20
2023-04-08 23:21:37.106 3420        40.41         20
2023-04-08 23:21:37.314 3417        40.41         20
2023-04-08 23:21:37.523 3434        40.41         20
2023-04-08 23:21:37.727 3435        40.41         20
2023-04-08 23:21:37.927 3434        40.41         20
2023-04-08 23:21:38.132 3441        40.41         20
2023-04-08 23:21:38.340 3440        40.41         20
2023-04-08 23:21:38.552 3441        40.44         20
2023-04-08 23:21:38.769 3424        40.44         20
2023-04-08 23:21:38.980 3436        40.44         20
2023-04-08 23:21:39.188 3449        40.44         20
2023-04-08 23:21:39.396 3438        40.44         20
2023-04-08 23:21:39.604 3430        40.44         20
2023-04-08 23:21:39.812 3427        40.44         20
2023-04-08 23:21:40.021 3430        40.41         20
2023-04-08 23:21:40.228 3444        40.41         20
2023-04-08 23:21:40.405 3437        40.41         20
2023-04-08 23:21:40.629 3423        40.41         20
2023-04-08 23:21:40.835 3443        40.41         20
2023-04-08 23:21:41.045 3444        40.41         20
2023-04-08 23:21:41.237 3440        40.41         20
2023-04-08 23:21:41.446 3452        40.41         20
2023-04-08 23:21:41.649 3449        40.41         20
2023-04-08 23:21:41.846 3458        40.41         20
2023-04-08 23:21:42.054 3442        40.41         20
2023-04-08 23:21:42.263 3456        40.41         20
2023-04-08 23:21:42.470 3465        40.41         20
2023-04-08 23:21:42.686 3458        40.41         20
2023-04-08 23:21:42.903 3467        40.41         20
2023-04-08 23:21:43.112 3461        40.41         20
2023-04-08 23:21:43.319 3466        40.41         20
2023-04-08 23:21:43.528 3479        40.41         20
2023-04-08 23:21:43.736 3486        40.41         20
2023-04-08 23:21:43.944 3468        40.41         20
2023-04-08 23:21:44.153 3489        40.41         20
2023-04-08 23:21:44.329 3489        40.41         20
2023-04-08 23:21:44.537 3496        40.41         20
